,q_i1,q_i2,q_f1,q_f2,V_ffii
0,1.0,0.0,0.0,1.0,-12.94188
1,1.0,0.0,2.0,3.0,-6.39249
2,1.0,0.0,4.0,5.0,-6.35638
3,1.0,0.0,6.0,7.0,-4.58379
4,3.0,2.0,2.0,3.0,-6.16694
5,3.0,2.0,4.0,5.0,-4.10379
6,3.0,2.0,6.0,7.0,-4.07015
7,5.0,4.0,4.0,5.0,-6.14212
8,5.0,4.0,6.0,7.0,-4.0766
9,7.0,6.0,6.0,7.0,-3.37429
10,7.0,6.0,6.0,7.0,-12.74288
11,7.0,6.0,8.0,9.0,-6.28362
12,7.0,6.0,10.0,11.0,-6.24825
13,7.0,6.0,12.0,13.0,-4.44266
14,9.0,8.0,8.0,9.0,-6.04269
15,9.0,8.0,10.0,11.0,-4.02106
16,9.0,8.0,12.0,13.0,-3.93955
17,11.0,10.0,10.0,11.0,-6.01823
18,11.0,10.0,12.0,13.0,-3.94572
19,13.0,12.0,12.0,13.0,-3.23329
