,i,j,epsilon
0,0,0,-17.473
1,1,1,-17.473
2,2,2,-4.753
3,3,3,-4.75
4,4,4,-4.74
5,5,5,-4.74
6,6,6,-16.479
7,7,7,-16.479
8,8,8,-3.842
9,9,9,-3.842
10,10,10,-3.829
11,11,11,-3.829
