,q_i,q_f,epsilon
0,0.0,0.0,-11.31725
1,1.0,1.0,-11.31725
2,2.0,2.0,-11.30283
3,3.0,3.0,-11.30283
4,4.0,4.0,-4.22831
5,5.0,5.0,-4.22831
6,6.0,6.0,-9.48149
7,7.0,7.0,-9.48149
8,8.0,8.0,-9.46711
9,9.0,9.0,-9.46711
10,10.0,10.0,-2.55581
11,11.0,11.0,-2.55581
