,i,j,epsilon
0,0.0,0.0,-26.623512
1,1.0,1.0,-26.623512
2,2.0,2.0,-11.317252
3,3.0,3.0,-11.317252
4,4.0,4.0,-11.302825
5,5.0,5.0,-11.302825
6,6.0,6.0,-4.228309
7,7.0,7.0,-4.228309
8,8.0,8.0,-24.643786
9,9.0,9.0,-24.643786
10,10.0,10.0,-9.481487
11,11.0,11.0,-9.481487
12,12.0,12.0,-9.467108
13,13.0,13.0,-9.467108
14,14.0,14.0,-2.555813
15,15.0,15.0,-2.555813
