,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,-12.79651
1,0.0,1.0,1.0,0.0,-12.79651
2,0.0,1.0,2.0,3.0,-6.56479
3,0.0,1.0,3.0,2.0,-6.56479
4,0.0,1.0,4.0,5.0,-6.52659
5,0.0,1.0,5.0,4.0,-6.52659
6,1.0,0.0,0.0,1.0,-12.79651
7,1.0,0.0,1.0,0.0,-12.79651
8,1.0,0.0,2.0,3.0,-6.56479
9,1.0,0.0,3.0,2.0,-6.56479
10,1.0,0.0,4.0,5.0,-6.52659
11,1.0,0.0,5.0,4.0,-6.52659
12,2.0,3.0,0.0,1.0,-6.56479
13,2.0,3.0,1.0,0.0,-6.56479
14,2.0,3.0,2.0,3.0,-6.38495
15,2.0,3.0,3.0,2.0,-6.38495
16,2.0,3.0,4.0,5.0,-4.24179
17,2.0,3.0,5.0,4.0,-4.24179
18,3.0,2.0,0.0,1.0,-6.56479
19,3.0,2.0,1.0,0.0,-6.56479
20,3.0,2.0,2.0,3.0,-6.38495
21,3.0,2.0,3.0,2.0,-6.38495
22,3.0,2.0,4.0,5.0,-4.24179
23,3.0,2.0,5.0,4.0,-4.24179
24,4.0,5.0,0.0,1.0,-6.52659
25,4.0,5.0,1.0,0.0,-6.52659
26,4.0,5.0,2.0,3.0,-4.24179
27,4.0,5.0,3.0,2.0,-4.24179
28,4.0,5.0,4.0,5.0,-6.35145
29,4.0,5.0,5.0,4.0,-6.35145
30,5.0,4.0,0.0,1.0,-6.52659
31,5.0,4.0,1.0,0.0,-6.52659
32,5.0,4.0,2.0,3.0,-4.24179
33,5.0,4.0,3.0,2.0,-4.24179
34,5.0,4.0,4.0,5.0,-6.35145
35,5.0,4.0,5.0,4.0,-6.35145
36,6.0,7.0,6.0,7.0,-12.59602
37,6.0,7.0,7.0,6.0,-12.59602
38,6.0,7.0,8.0,9.0,-6.4517
39,6.0,7.0,9.0,8.0,-6.4517
40,6.0,7.0,10.0,11.0,-6.41427
41,6.0,7.0,11.0,10.0,-6.41427
42,7.0,6.0,6.0,7.0,-12.59602
43,7.0,6.0,7.0,6.0,-12.59602
44,7.0,6.0,8.0,9.0,-6.4517
45,7.0,6.0,9.0,8.0,-6.4517
46,7.0,6.0,10.0,11.0,-6.41427
47,7.0,6.0,11.0,10.0,-6.41427
48,8.0,9.0,6.0,7.0,-6.4517
49,8.0,9.0,7.0,6.0,-6.4517
50,8.0,9.0,8.0,9.0,-6.25497
51,8.0,9.0,9.0,8.0,-6.25497
52,8.0,9.0,10.0,11.0,-4.15517
53,8.0,9.0,11.0,10.0,-4.15517
54,9.0,8.0,6.0,7.0,-6.4517
55,9.0,8.0,7.0,6.0,-6.4517
56,9.0,8.0,8.0,9.0,-6.25497
57,9.0,8.0,9.0,8.0,-6.25497
58,9.0,8.0,10.0,11.0,-4.15517
59,9.0,8.0,11.0,10.0,-4.15517
60,10.0,11.0,6.0,7.0,-6.41427
61,10.0,11.0,7.0,6.0,-6.41427
62,10.0,11.0,8.0,9.0,-4.15517
63,10.0,11.0,9.0,8.0,-4.15517
64,10.0,11.0,10.0,11.0,-6.22176
65,10.0,11.0,11.0,10.0,-6.22176
66,11.0,10.0,6.0,7.0,-6.41427
67,11.0,10.0,7.0,6.0,-6.41427
68,11.0,10.0,8.0,9.0,-4.15517
69,11.0,10.0,9.0,8.0,-4.15517
70,11.0,10.0,10.0,11.0,-6.22176
71,11.0,10.0,11.0,10.0,-6.22176
