,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
80,3.0,1.0,9.0,2.0,6.0,1.0,6.0,2.0,-0.357497
81,3.0,1.0,9.0,2.0,7.0,1.0,7.0,2.0,0.233655
82,3.0,1.0,9.0,2.0,8.0,1.0,8.0,2.0,-0.233655
83,3.0,1.0,9.0,2.0,9.0,1.0,4.0,2.0,-0.170404
84,3.0,1.0,9.0,2.0,9.0,1.0,9.0,2.0,0.232045
85,3.0,1.0,9.0,2.0,10.0,1.0,3.0,2.0,0.170404
86,3.0,1.0,9.0,2.0,10.0,1.0,10.0,2.0,-0.232045
87,3.0,1.0,10.0,2.0,3.0,1.0,3.0,2.0,-0.000818
88,3.0,1.0,10.0,2.0,3.0,1.0,10.0,2.0,-1.570073
89,3.0,1.0,10.0,2.0,4.0,1.0,5.0,2.0,1.73513
90,3.0,1.0,10.0,2.0,6.0,1.0,4.0,2.0,-1.734336
91,3.0,1.0,10.0,2.0,6.0,1.0,9.0,2.0,-0.400754
92,3.0,1.0,10.0,2.0,8.0,1.0,7.0,2.0,0.005771
93,3.0,1.0,10.0,2.0,9.0,1.0,3.0,2.0,1.583361
94,3.0,1.0,10.0,2.0,9.0,1.0,10.0,2.0,-0.002274
95,3.0,1.0,10.0,2.0,10.0,1.0,5.0,2.0,0.406087
96,4.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,-0.491133
97,4.0,1.0,5.0,1.0,5.0,1.0,10.0,1.0,-1.639453
98,4.0,1.0,6.0,1.0,3.0,1.0,9.0,1.0,3.526475
99,4.0,1.0,6.0,1.0,4.0,1.0,6.0,1.0,-3.916706
100,4.0,1.0,6.0,1.0,6.0,1.0,10.0,1.0,0.911852
101,4.0,1.0,7.0,1.0,4.0,1.0,7.0,1.0,-0.720169
102,4.0,1.0,7.0,1.0,5.0,1.0,8.0,1.0,-0.194509
103,4.0,1.0,7.0,1.0,7.0,1.0,10.0,1.0,0.071544
104,4.0,1.0,8.0,1.0,3.0,1.0,7.0,1.0,5.409426
105,4.0,1.0,8.0,1.0,4.0,1.0,8.0,1.0,-5.409426
106,4.0,1.0,8.0,1.0,7.0,1.0,9.0,1.0,-0.41675
107,4.0,1.0,8.0,1.0,8.0,1.0,10.0,1.0,0.41675
108,4.0,1.0,9.0,1.0,3.0,1.0,4.0,1.0,1.097954
109,4.0,1.0,9.0,1.0,3.0,1.0,10.0,1.0,0.350002
110,4.0,1.0,9.0,1.0,4.0,1.0,9.0,1.0,-0.350002
111,4.0,1.0,9.0,1.0,5.0,1.0,6.0,1.0,-0.727601
112,4.0,1.0,9.0,1.0,7.0,1.0,8.0,1.0,-0.488294
113,4.0,1.0,9.0,1.0,9.0,1.0,10.0,1.0,-0.474366
114,4.0,1.0,10.0,1.0,3.0,1.0,5.0,1.0,3.526475
115,4.0,1.0,10.0,1.0,4.0,1.0,10.0,1.0,-3.215624
116,4.0,1.0,10.0,1.0,5.0,1.0,9.0,1.0,-0.826721
117,4.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,5.235812
118,4.0,1.0,3.0,2.0,3.0,1.0,9.0,2.0,0.532642
119,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,-5.235812
120,4.0,1.0,3.0,2.0,4.0,1.0,10.0,2.0,-0.532642
121,4.0,1.0,3.0,2.0,5.0,1.0,5.0,2.0,2.183231
122,4.0,1.0,3.0,2.0,6.0,1.0,6.0,2.0,-2.183231
123,4.0,1.0,3.0,2.0,7.0,1.0,7.0,2.0,-3.014289
124,4.0,1.0,3.0,2.0,8.0,1.0,8.0,2.0,3.014289
125,4.0,1.0,3.0,2.0,9.0,1.0,4.0,2.0,0.546812
