,i,j,epsilon
0,0,0,-17.865
1,1,1,-17.865
2,2,2,-3.597
3,3,3,-3.597
4,4,4,-3.597
5,5,5,-3.597
6,6,6,-24.809
7,7,7,-24.809
8,8,8,-11.187
9,9,9,-11.187
10,10,10,-11.187
11,11,11,-11.187
12,12,12,-5.277
13,13,13,-5.277
