,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,2.889827
1,1.0,0.0,0.0,1.0,-2.889827
2,2.0,3.0,0.0,1.0,1.934448
3,3.0,2.0,0.0,1.0,-1.934448
4,4.0,5.0,0.0,1.0,1.86871
5,5.0,4.0,0.0,1.0,-1.86871
6,0.0,1.0,1.0,0.0,-2.889827
7,1.0,0.0,1.0,0.0,2.889827
8,2.0,3.0,1.0,0.0,-1.934448
9,3.0,2.0,1.0,0.0,1.934448
10,4.0,5.0,1.0,0.0,-1.86871
11,5.0,4.0,1.0,0.0,1.86871
12,0.0,1.0,2.0,3.0,1.934448
13,1.0,0.0,2.0,3.0,-1.934448
14,2.0,3.0,2.0,3.0,2.877099
15,3.0,2.0,2.0,3.0,-2.877099
16,4.0,5.0,2.0,3.0,1.880061
17,5.0,4.0,2.0,3.0,-1.880061
18,0.0,1.0,3.0,2.0,-1.934448
19,1.0,0.0,3.0,2.0,1.934448
20,2.0,3.0,3.0,2.0,-2.877099
21,3.0,2.0,3.0,2.0,2.877099
22,4.0,5.0,3.0,2.0,-1.880061
23,5.0,4.0,3.0,2.0,1.880061
24,0.0,1.0,4.0,5.0,1.86871
25,1.0,0.0,4.0,5.0,-1.86871
26,2.0,3.0,4.0,5.0,1.880061
27,3.0,2.0,4.0,5.0,-1.880061
28,4.0,5.0,4.0,5.0,1.525083
29,5.0,4.0,4.0,5.0,-1.525083
30,0.0,1.0,5.0,4.0,-1.86871
31,1.0,0.0,5.0,4.0,1.86871
32,2.0,3.0,5.0,4.0,-1.880061
33,3.0,2.0,5.0,4.0,1.880061
34,4.0,5.0,5.0,4.0,-1.525083
35,5.0,4.0,5.0,4.0,1.525083
36,6.0,7.0,6.0,7.0,3.161346
37,7.0,6.0,6.0,7.0,-3.161346
38,8.0,9.0,6.0,7.0,2.115773
39,9.0,8.0,6.0,7.0,-2.115773
40,10.0,11.0,6.0,7.0,2.267738
41,11.0,10.0,6.0,7.0,-2.267738
42,12.0,13.0,6.0,7.0,2.138134
43,13.0,12.0,6.0,7.0,-2.138134
44,14.0,15.0,6.0,7.0,1.5673
45,15.0,14.0,6.0,7.0,-1.5673
46,16.0,17.0,6.0,7.0,1.279761
47,17.0,16.0,6.0,7.0,-1.279761
48,6.0,7.0,7.0,6.0,-3.161346
49,7.0,6.0,7.0,6.0,3.161346
50,8.0,9.0,7.0,6.0,-2.115773
51,9.0,8.0,7.0,6.0,2.115773
52,10.0,11.0,7.0,6.0,-2.267738
53,11.0,10.0,7.0,6.0,2.267738
54,12.0,13.0,7.0,6.0,-2.138134
55,13.0,12.0,7.0,6.0,2.138134
56,14.0,15.0,7.0,6.0,-1.5673
57,15.0,14.0,7.0,6.0,1.5673
58,16.0,17.0,7.0,6.0,-1.279761
59,17.0,16.0,7.0,6.0,1.279761
60,6.0,7.0,8.0,9.0,2.115773
61,7.0,6.0,8.0,9.0,-2.115773
62,8.0,9.0,8.0,9.0,3.153573
63,9.0,8.0,8.0,9.0,-3.153573
64,10.0,11.0,8.0,9.0,2.281926
65,11.0,10.0,8.0,9.0,-2.281926
66,12.0,13.0,8.0,9.0,1.195934
67,13.0,12.0,8.0,9.0,-1.195934
68,14.0,15.0,8.0,9.0,1.753611
69,15.0,14.0,8.0,9.0,-1.753611
70,16.0,17.0,8.0,9.0,2.02664
71,17.0,16.0,8.0,9.0,-2.02664
72,6.0,7.0,9.0,8.0,-2.115773
73,7.0,6.0,9.0,8.0,2.115773
74,8.0,9.0,9.0,8.0,-3.153573
75,9.0,8.0,9.0,8.0,3.153573
76,10.0,11.0,9.0,8.0,-2.281926
77,11.0,10.0,9.0,8.0,2.281926
78,12.0,13.0,9.0,8.0,-1.195934
79,13.0,12.0,9.0,8.0,1.195934
80,14.0,15.0,9.0,8.0,-1.753611
81,15.0,14.0,9.0,8.0,1.753611
82,16.0,17.0,9.0,8.0,-2.02664
83,17.0,16.0,9.0,8.0,2.02664
84,6.0,7.0,10.0,11.0,2.267738
85,7.0,6.0,10.0,11.0,-2.267738
86,8.0,9.0,10.0,11.0,2.281926
87,9.0,8.0,10.0,11.0,-2.281926
88,10.0,11.0,10.0,11.0,2.009514
89,11.0,10.0,10.0,11.0,-2.009514
90,12.0,13.0,10.0,11.0,1.544689
91,13.0,12.0,10.0,11.0,-1.544689
92,14.0,15.0,10.0,11.0,1.549485
93,15.0,14.0,10.0,11.0,-1.549485
94,16.0,17.0,10.0,11.0,1.54858
95,17.0,16.0,10.0,11.0,-1.54858
96,6.0,7.0,11.0,10.0,-2.267738
97,7.0,6.0,11.0,10.0,2.267738
98,8.0,9.0,11.0,10.0,-2.281926
99,9.0,8.0,11.0,10.0,2.281926
100,10.0,11.0,11.0,10.0,-2.009514
101,11.0,10.0,11.0,10.0,2.009514
102,12.0,13.0,11.0,10.0,-1.544689
103,13.0,12.0,11.0,10.0,1.544689
104,14.0,15.0,11.0,10.0,-1.549485
105,15.0,14.0,11.0,10.0,1.549485
106,16.0,17.0,11.0,10.0,-1.54858
107,17.0,16.0,11.0,10.0,1.54858
108,6.0,7.0,12.0,13.0,2.138134
109,7.0,6.0,12.0,13.0,-2.138134
110,8.0,9.0,12.0,13.0,1.195934
111,9.0,8.0,12.0,13.0,-1.195934
112,10.0,11.0,12.0,13.0,1.544689
113,11.0,10.0,12.0,13.0,-1.544689
114,12.0,13.0,12.0,13.0,1.905411
115,13.0,12.0,12.0,13.0,-1.905411
116,14.0,15.0,12.0,13.0,1.145366
117,15.0,14.0,12.0,13.0,-1.145366
118,16.0,17.0,12.0,13.0,0.96002
