,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,-12.92433
1,0.0,1.0,2.0,3.0,-5.92483
2,0.0,1.0,4.0,5.0,-6.42081
3,2.0,3.0,0.0,1.0,-5.92483
4,2.0,3.0,2.0,3.0,-6.2218
5,2.0,3.0,4.0,5.0,-3.7937
6,4.0,5.0,0.0,1.0,-6.42081
7,4.0,5.0,2.0,3.0,-3.7937
8,4.0,5.0,4.0,5.0,-6.1379
9,6.0,7.0,6.0,7.0,-12.52288
10,6.0,7.0,8.0,9.0,-6.28347
11,6.0,7.0,10.0,11.0,-6.49777
12,8.0,9.0,6.0,7.0,-6.28347
13,8.0,9.0,8.0,9.0,-7.12469
14,8.0,9.0,10.0,11.0,-3.83218
15,10.0,11.0,6.0,7.0,-6.49777
16,10.0,11.0,8.0,9.0,-3.83218
17,10.0,11.0,10.0,11.0,-6.33433
