,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,5.725214
1,1.0,0.0,0.0,1.0,-5.725214
2,2.0,3.0,0.0,1.0,3.823805
3,3.0,2.0,0.0,1.0,-3.823805
4,4.0,5.0,0.0,1.0,3.74651
5,5.0,4.0,0.0,1.0,-3.74651
6,0.0,1.0,1.0,0.0,-5.725214
7,1.0,0.0,1.0,0.0,5.725214
8,2.0,3.0,1.0,0.0,-3.823805
9,3.0,2.0,1.0,0.0,3.823805
10,4.0,5.0,1.0,0.0,-3.74651
11,5.0,4.0,1.0,0.0,3.74651
12,0.0,1.0,2.0,3.0,3.823805
13,1.0,0.0,2.0,3.0,-3.823805
14,2.0,3.0,2.0,3.0,5.71469
15,3.0,2.0,2.0,3.0,-5.71469
16,4.0,5.0,2.0,3.0,3.754868
17,5.0,4.0,2.0,3.0,-3.754868
18,0.0,1.0,3.0,2.0,-3.823805
19,1.0,0.0,3.0,2.0,3.823805
20,2.0,3.0,3.0,2.0,-5.71469
21,3.0,2.0,3.0,2.0,5.71469
22,4.0,5.0,3.0,2.0,-3.754868
23,5.0,4.0,3.0,2.0,3.754868
24,0.0,1.0,4.0,5.0,3.74651
25,1.0,0.0,4.0,5.0,-3.74651
26,2.0,3.0,4.0,5.0,3.754868
27,3.0,2.0,4.0,5.0,-3.754868
28,4.0,5.0,4.0,5.0,3.072901
29,5.0,4.0,4.0,5.0,-3.072901
30,0.0,1.0,5.0,4.0,-3.74651
31,1.0,0.0,5.0,4.0,3.74651
32,2.0,3.0,5.0,4.0,-3.754868
33,3.0,2.0,5.0,4.0,3.754868
34,4.0,5.0,5.0,4.0,-3.072901
35,5.0,4.0,5.0,4.0,3.072901
36,6.0,7.0,6.0,7.0,6.265508
37,7.0,6.0,6.0,7.0,-6.265508
38,8.0,9.0,6.0,7.0,4.184882
39,9.0,8.0,6.0,7.0,-4.184882
40,10.0,11.0,6.0,7.0,4.506257
41,11.0,10.0,6.0,7.0,-4.506257
42,6.0,7.0,7.0,6.0,-6.265508
43,7.0,6.0,7.0,6.0,6.265508
44,8.0,9.0,7.0,6.0,-4.184882
45,9.0,8.0,7.0,6.0,4.184882
46,10.0,11.0,7.0,6.0,-4.506257
47,11.0,10.0,7.0,6.0,4.506257
48,6.0,7.0,8.0,9.0,4.184882
49,7.0,6.0,8.0,9.0,-4.184882
50,8.0,9.0,8.0,9.0,6.255531
51,9.0,8.0,8.0,9.0,-6.255531
52,10.0,11.0,8.0,9.0,4.519346
53,11.0,10.0,8.0,9.0,-4.519346
54,6.0,7.0,9.0,8.0,-4.184882
55,7.0,6.0,9.0,8.0,4.184882
56,8.0,9.0,9.0,8.0,-6.255531
57,9.0,8.0,9.0,8.0,6.255531
58,10.0,11.0,9.0,8.0,-4.519346
59,11.0,10.0,9.0,8.0,4.519346
60,6.0,7.0,10.0,11.0,4.506257
61,7.0,6.0,10.0,11.0,-4.506257
62,8.0,9.0,10.0,11.0,4.519346
63,9.0,8.0,10.0,11.0,-4.519346
64,10.0,11.0,10.0,11.0,3.99019
65,11.0,10.0,10.0,11.0,-3.99019
66,6.0,7.0,11.0,10.0,-4.506257
67,7.0,6.0,11.0,10.0,4.506257
68,8.0,9.0,11.0,10.0,-4.519346
69,9.0,8.0,11.0,10.0,4.519346
70,10.0,11.0,11.0,10.0,-3.99019
71,11.0,10.0,11.0,10.0,3.99019
