,q_i,q_f,epsilon
0,0.0,0.0,-26.148
1,1.0,1.0,-26.148
2,2.0,2.0,-10.87
3,3.0,3.0,-10.87
4,4.0,4.0,-10.853
5,5.0,5.0,-10.853
6,6.0,6.0,-4.162
7,7.0,7.0,-4.162
8,8.0,8.0,-31.311
9,9.0,9.0,-31.311
10,10.0,10.0,-15.475
11,11.0,11.0,-15.475
12,12.0,12.0,-15.459
13,13.0,13.0,-15.459
