,i,j,epsilon
0,0,0,-6.821529
1,1,1,-6.821529
2,2,2,0.580669
3,3,3,0.580669
4,4,4,2.480061
5,5,5,2.480061
6,6,6,-11.0312
7,7,7,-11.0312
8,8,8,-4.190457
9,9,9,-4.190457
10,10,10,-0.946382
11,11,11,-0.946382
12,12,12,1.236743
13,13,13,1.236743
