,i,j,epsilon
0,0,0,-17.863
1,1,1,-17.863
2,2,2,-3.597
3,3,3,-3.597
4,4,4,-3.597
5,5,5,-3.597
6,6,6,-24.806
7,7,7,-24.806
8,8,8,-11.185
9,9,9,-11.185
10,10,10,-11.184
11,11,11,-11.184
