,i,j,epsilon
0,0,0,-11.075412
1,1,1,-11.075412
2,2,2,-11.04127
3,3,3,-11.04127
4,4,4,-3.802024
5,5,5,-3.802024
6,6,6,-15.84999
7,7,7,-15.84999
8,8,8,-15.825756
9,9,9,-15.825756
10,10,10,-8.459688
11,11,11,-8.459688
12,12,12,-0.587468
13,13,13,-0.587468
14,14,14,-0.558984
15,15,15,-0.558984
16,16,16,-0.530072
17,17,17,-0.530072
