,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-12.861418
1,2.0,3.0,1.0,0.0,-5.890698
2,4.0,5.0,1.0,0.0,-5.895849
3,6.0,7.0,1.0,0.0,-4.1779
4,0.0,1.0,3.0,2.0,-5.890698
5,2.0,3.0,3.0,2.0,-5.725214
6,4.0,5.0,3.0,2.0,-3.823805
7,6.0,7.0,3.0,2.0,-3.74651
8,0.0,1.0,5.0,4.0,-5.895849
9,2.0,3.0,5.0,4.0,-3.823805
10,4.0,5.0,5.0,4.0,-5.71469
11,6.0,7.0,5.0,4.0,-3.754868
12,0.0,1.0,7.0,6.0,-4.1779
13,2.0,3.0,7.0,6.0,-3.74651
14,4.0,5.0,7.0,6.0,-3.754868
15,6.0,7.0,7.0,6.0,-3.072901
16,8.0,9.0,9.0,8.0,-11.853544
17,10.0,11.0,9.0,8.0,-6.230142
18,12.0,13.0,9.0,8.0,-6.237393
19,14.0,15.0,9.0,8.0,-4.997489
20,16.0,17.0,9.0,8.0,-2.89526
21,18.0,19.0,9.0,8.0,-2.886192
22,20.0,21.0,9.0,8.0,-2.87731
23,8.0,9.0,11.0,10.0,-6.230142
24,10.0,11.0,11.0,10.0,-6.265508
25,12.0,13.0,11.0,10.0,-4.184882
26,14.0,15.0,11.0,10.0,-4.506257
27,16.0,17.0,11.0,10.0,-4.217558
28,18.0,19.0,11.0,10.0,-3.089168
29,20.0,21.0,11.0,10.0,-2.520561
30,8.0,9.0,13.0,12.0,-6.237393
31,10.0,11.0,13.0,12.0,-4.184882
32,12.0,13.0,13.0,12.0,-6.255531
33,14.0,15.0,13.0,12.0,-4.519346
34,16.0,17.0,13.0,12.0,-2.353281
35,18.0,19.0,13.0,12.0,-3.463005
36,20.0,21.0,13.0,12.0,-4.008688
37,8.0,9.0,15.0,14.0,-4.997489
38,10.0,11.0,15.0,14.0,-4.506257
39,12.0,13.0,15.0,14.0,-4.519346
40,14.0,15.0,15.0,14.0,-3.99019
41,16.0,17.0,15.0,14.0,-3.056352
42,18.0,19.0,15.0,14.0,-3.058785
43,20.0,21.0,15.0,14.0,-3.054458
44,8.0,9.0,17.0,16.0,-2.89526
45,10.0,11.0,17.0,16.0,-4.217558
46,12.0,13.0,17.0,16.0,-2.353281
47,14.0,15.0,17.0,16.0,-3.056352
48,16.0,17.0,17.0,16.0,-3.750213
49,18.0,19.0,17.0,16.0,-2.251664
50,20.0,21.0,17.0,16.0,-1.877183
51,8.0,9.0,19.0,18.0,-2.886192
52,10.0,11.0,19.0,18.0,-3.089168
53,12.0,13.0,19.0,18.0,-3.463005
54,14.0,15.0,19.0,18.0,-3.058785
55,16.0,17.0,19.0,18.0,-2.251664
56,18.0,19.0,19.0,18.0,-3.144425
57,20.0,21.0,19.0,18.0,-2.471341
58,8.0,9.0,21.0,20.0,-2.87731
59,10.0,11.0,21.0,20.0,-2.520561
60,12.0,13.0,21.0,20.0,-4.008688
61,14.0,15.0,21.0,20.0,-3.054458
62,16.0,17.0,21.0,20.0,-1.877183
63,18.0,19.0,21.0,20.0,-2.471341
64,20.0,21.0,21.0,20.0,-3.500913
