,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.125
1,2.0,3.0,1.0,0.0,-0.125
2,4.0,5.0,1.0,0.0,-0.125
3,2.0,3.0,3.0,2.0,-0.125
4,4.0,5.0,3.0,2.0,-0.125
5,4.0,5.0,5.0,4.0,-0.125
6,6.0,7.0,7.0,6.0,-0.125
7,8.0,9.0,7.0,6.0,-0.133
8,10.0,11.0,7.0,6.0,-0.133
9,12.0,13.0,7.0,6.0,-0.133
10,14.0,15.0,7.0,6.0,-0.133
11,8.0,9.0,9.0,8.0,-0.133
12,10.0,11.0,9.0,8.0,-0.133
13,12.0,13.0,9.0,8.0,-0.133
14,14.0,15.0,9.0,8.0,-0.133
15,10.0,11.0,11.0,10.0,-0.133
16,12.0,13.0,11.0,10.0,-0.133
17,14.0,15.0,11.0,10.0,-0.133
18,12.0,13.0,13.0,12.0,-0.133
19,14.0,15.0,13.0,12.0,-0.133
20,14.0,15.0,15.0,14.0,-0.133
