,i,j,epsilon
0,0.0,0.0,-26.701351
1,1.0,1.0,-26.701351
2,2.0,2.0,-11.075412
3,3.0,3.0,-11.075412
4,4.0,4.0,-11.04127
5,5.0,5.0,-11.04127
6,6.0,6.0,-3.802024
7,7.0,7.0,-3.802024
8,8.0,8.0,-31.804568
9,9.0,9.0,-31.804568
10,10.0,10.0,-15.84999
11,11.0,11.0,-15.84999
12,12.0,12.0,-15.825756
13,13.0,13.0,-15.825756
14,14.0,14.0,-8.459688
15,15.0,15.0,-8.459688
16,16.0,16.0,-0.587468
17,17.0,17.0,-0.587468
18,18.0,18.0,-0.558984
19,19.0,19.0,-0.558984
20,20.0,20.0,-0.530072
21,21.0,21.0,-0.530072
