,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.2
1,2.0,3.0,1.0,0.0,-0.2
2,4.0,5.0,1.0,0.0,-0.2
3,2.0,3.0,3.0,2.0,-0.2
4,4.0,5.0,3.0,2.0,-0.2
5,4.0,5.0,5.0,4.0,-0.2
6,6.0,7.0,7.0,6.0,-0.231
7,8.0,9.0,7.0,6.0,-0.231
8,10.0,11.0,7.0,6.0,-0.231
9,12.0,13.0,7.0,6.0,-0.231
10,8.0,9.0,9.0,8.0,-0.231
11,10.0,11.0,9.0,8.0,-0.231
12,12.0,13.0,9.0,8.0,-0.231
13,10.0,11.0,11.0,10.0,-0.231
14,12.0,13.0,11.0,10.0,-0.231
15,12.0,13.0,13.0,12.0,-0.231
