,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,12.810409
1,1.0,0.0,0.0,1.0,-12.810409
2,2.0,3.0,0.0,1.0,6.501468
3,3.0,2.0,0.0,1.0,-6.501468
4,4.0,5.0,0.0,1.0,6.508258
5,5.0,4.0,0.0,1.0,-6.508258
6,6.0,7.0,0.0,1.0,4.503377
7,7.0,6.0,0.0,1.0,-4.503377
8,0.0,1.0,1.0,0.0,-12.810409
9,1.0,0.0,1.0,0.0,12.810409
10,2.0,3.0,1.0,0.0,-6.501468
11,3.0,2.0,1.0,0.0,6.501468
12,4.0,5.0,1.0,0.0,-6.508258
13,5.0,4.0,1.0,0.0,6.508258
14,6.0,7.0,1.0,0.0,-4.503377
15,7.0,6.0,1.0,0.0,4.503377
16,0.0,1.0,2.0,3.0,6.501468
17,1.0,0.0,2.0,3.0,-6.501468
18,2.0,3.0,2.0,3.0,6.337498
19,3.0,2.0,2.0,3.0,-6.337498
20,4.0,5.0,2.0,3.0,4.235348
21,5.0,4.0,2.0,3.0,-4.235348
22,6.0,7.0,2.0,3.0,4.087395
23,7.0,6.0,2.0,3.0,-4.087395
24,0.0,1.0,3.0,2.0,-6.501468
25,1.0,0.0,3.0,2.0,6.501468
26,2.0,3.0,3.0,2.0,-6.337498
27,3.0,2.0,3.0,2.0,6.337498
28,4.0,5.0,3.0,2.0,-4.235348
29,5.0,4.0,3.0,2.0,4.235348
30,6.0,7.0,3.0,2.0,-4.087395
31,7.0,6.0,3.0,2.0,4.087395
32,0.0,1.0,4.0,5.0,6.508258
33,1.0,0.0,4.0,5.0,-6.508258
34,2.0,3.0,4.0,5.0,4.235348
35,3.0,2.0,4.0,5.0,-4.235348
36,4.0,5.0,4.0,5.0,6.32945
37,5.0,4.0,4.0,5.0,-6.32945
38,6.0,7.0,4.0,5.0,4.095678
39,7.0,6.0,4.0,5.0,-4.095678
40,0.0,1.0,5.0,4.0,-6.508258
41,1.0,0.0,5.0,4.0,6.508258
42,2.0,3.0,5.0,4.0,-4.235348
43,3.0,2.0,5.0,4.0,4.235348
44,4.0,5.0,5.0,4.0,-6.32945
45,5.0,4.0,5.0,4.0,6.32945
46,6.0,7.0,5.0,4.0,-4.095678
47,7.0,6.0,5.0,4.0,4.095678
48,0.0,1.0,6.0,7.0,4.503377
49,1.0,0.0,6.0,7.0,-4.503377
50,2.0,3.0,6.0,7.0,4.087395
51,3.0,2.0,6.0,7.0,-4.087395
52,4.0,5.0,6.0,7.0,4.095678
53,5.0,4.0,6.0,7.0,-4.095678
54,6.0,7.0,6.0,7.0,3.338471
55,7.0,6.0,6.0,7.0,-3.338471
56,0.0,1.0,7.0,6.0,-4.503377
57,1.0,0.0,7.0,6.0,4.503377
58,2.0,3.0,7.0,6.0,-4.087395
59,3.0,2.0,7.0,6.0,4.087395
60,4.0,5.0,7.0,6.0,-4.095678
61,5.0,4.0,7.0,6.0,4.095678
62,6.0,7.0,7.0,6.0,-3.338471
63,7.0,6.0,7.0,6.0,3.338471
64,8.0,9.0,8.0,9.0,12.609142
65,9.0,8.0,8.0,9.0,-12.609142
66,10.0,11.0,8.0,9.0,6.387665
67,11.0,10.0,8.0,9.0,-6.387665
68,12.0,13.0,8.0,9.0,6.394556
69,13.0,12.0,8.0,9.0,-6.394556
70,14.0,15.0,8.0,9.0,4.347019
71,15.0,14.0,8.0,9.0,-4.347019
72,8.0,9.0,9.0,8.0,-12.609142
73,9.0,8.0,9.0,8.0,12.609142
74,10.0,11.0,9.0,8.0,-6.387665
75,11.0,10.0,9.0,8.0,6.387665
76,12.0,13.0,9.0,8.0,-6.394556
77,13.0,12.0,9.0,8.0,6.394556
78,14.0,15.0,9.0,8.0,-4.347019
79,15.0,14.0,9.0,8.0,4.347019
80,8.0,9.0,10.0,11.0,6.387665
81,9.0,8.0,10.0,11.0,-6.387665
82,10.0,11.0,10.0,11.0,6.208721
83,11.0,10.0,10.0,11.0,-6.208721
84,12.0,13.0,10.0,11.0,4.149201
85,13.0,12.0,10.0,11.0,-4.149201
86,14.0,15.0,10.0,11.0,3.943026
87,15.0,14.0,10.0,11.0,-3.943026
88,8.0,9.0,11.0,10.0,-6.387665
89,9.0,8.0,11.0,10.0,6.387665
90,10.0,11.0,11.0,10.0,-6.208721
91,11.0,10.0,11.0,10.0,6.208721
92,12.0,13.0,11.0,10.0,-4.149201
93,13.0,12.0,11.0,10.0,4.149201
94,14.0,15.0,11.0,10.0,-3.943026
95,15.0,14.0,11.0,10.0,3.943026
96,8.0,9.0,12.0,13.0,6.394556
97,9.0,8.0,12.0,13.0,-6.394556
98,10.0,11.0,12.0,13.0,4.149201
99,11.0,10.0,12.0,13.0,-4.149201
100,12.0,13.0,12.0,13.0,6.200484
101,13.0,12.0,12.0,13.0,-6.200484
102,14.0,15.0,12.0,13.0,3.950519
103,15.0,14.0,12.0,13.0,-3.950519
104,8.0,9.0,13.0,12.0,-6.394556
105,9.0,8.0,13.0,12.0,6.394556
106,10.0,11.0,13.0,12.0,-4.149201
107,11.0,10.0,13.0,12.0,4.149201
108,12.0,13.0,13.0,12.0,-6.200484
109,13.0,12.0,13.0,12.0,6.200484
110,14.0,15.0,13.0,12.0,-3.950519
111,15.0,14.0,13.0,12.0,3.950519
112,8.0,9.0,14.0,15.0,4.347019
113,9.0,8.0,14.0,15.0,-4.347019
114,10.0,11.0,14.0,15.0,3.943026
115,11.0,10.0,14.0,15.0,-3.943026
116,12.0,13.0,14.0,15.0,3.950519
117,13.0,12.0,14.0,15.0,-3.950519
118,14.0,15.0,14.0,15.0,3.17917
119,15.0,14.0,14.0,15.0,-3.17917
120,8.0,9.0,15.0,14.0,-4.347019
121,9.0,8.0,15.0,14.0,4.347019
122,10.0,11.0,15.0,14.0,-3.943026
123,11.0,10.0,15.0,14.0,3.943026
124,12.0,13.0,15.0,14.0,-3.950519
125,13.0,12.0,15.0,14.0,3.950519
126,14.0,15.0,15.0,14.0,-3.17917
127,15.0,14.0,15.0,14.0,3.17917
