,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,5.030922
1,1.0,0.0,0.0,1.0,-5.030922
2,2.0,3.0,0.0,1.0,2.29637
3,3.0,2.0,0.0,1.0,-2.29637
4,4.0,5.0,0.0,1.0,2.296789
5,5.0,4.0,0.0,1.0,-2.296789
6,0.0,1.0,1.0,0.0,-5.030922
7,1.0,0.0,1.0,0.0,5.030922
8,2.0,3.0,1.0,0.0,-2.29637
9,3.0,2.0,1.0,0.0,2.29637
10,4.0,5.0,1.0,0.0,-2.296789
11,5.0,4.0,1.0,0.0,2.296789
12,0.0,1.0,2.0,3.0,2.29637
13,1.0,0.0,2.0,3.0,-2.29637
14,2.0,3.0,2.0,3.0,2.062582
15,3.0,2.0,2.0,3.0,-2.062582
16,4.0,5.0,2.0,3.0,1.376405
17,5.0,4.0,2.0,3.0,-1.376405
18,0.0,1.0,3.0,2.0,-2.29637
19,1.0,0.0,3.0,2.0,2.29637
20,2.0,3.0,3.0,2.0,-2.062582
21,3.0,2.0,3.0,2.0,2.062582
22,4.0,5.0,3.0,2.0,-1.376405
23,5.0,4.0,3.0,2.0,1.376405
24,0.0,1.0,4.0,5.0,2.296789
25,1.0,0.0,4.0,5.0,-2.296789
26,2.0,3.0,4.0,5.0,1.376405
27,3.0,2.0,4.0,5.0,-1.376405
28,4.0,5.0,4.0,5.0,2.059382
29,5.0,4.0,4.0,5.0,-2.059382
30,0.0,1.0,5.0,4.0,-2.296789
31,1.0,0.0,5.0,4.0,2.296789
32,2.0,3.0,5.0,4.0,-1.376405
33,3.0,2.0,5.0,4.0,1.376405
34,4.0,5.0,5.0,4.0,-2.059382
35,5.0,4.0,5.0,4.0,2.059382
36,6.0,7.0,6.0,7.0,4.738568
37,7.0,6.0,6.0,7.0,-4.738568
38,8.0,9.0,6.0,7.0,2.728653
39,9.0,8.0,6.0,7.0,-2.728653
40,10.0,11.0,6.0,7.0,2.729862
41,11.0,10.0,6.0,7.0,-2.729862
42,6.0,7.0,7.0,6.0,-4.738568
43,7.0,6.0,7.0,6.0,4.738568
44,8.0,9.0,7.0,6.0,-2.728653
45,9.0,8.0,7.0,6.0,2.728653
46,10.0,11.0,7.0,6.0,-2.729862
47,11.0,10.0,7.0,6.0,2.729862
48,6.0,7.0,8.0,9.0,2.728653
49,7.0,6.0,8.0,9.0,-2.728653
50,8.0,9.0,8.0,9.0,2.687511
51,9.0,8.0,8.0,9.0,-2.687511
52,10.0,11.0,8.0,9.0,1.795425
53,11.0,10.0,8.0,9.0,-1.795425
54,6.0,7.0,9.0,8.0,-2.728653
55,7.0,6.0,9.0,8.0,2.728653
56,8.0,9.0,9.0,8.0,-2.687511
57,9.0,8.0,9.0,8.0,2.687511
58,10.0,11.0,9.0,8.0,-1.795425
59,11.0,10.0,9.0,8.0,1.795425
60,6.0,7.0,10.0,11.0,2.729862
61,7.0,6.0,10.0,11.0,-2.729862
62,8.0,9.0,10.0,11.0,1.795425
63,9.0,8.0,10.0,11.0,-1.795425
64,10.0,11.0,10.0,11.0,2.683892
65,11.0,10.0,10.0,11.0,-2.683892
66,6.0,7.0,11.0,10.0,-2.729862
67,7.0,6.0,11.0,10.0,2.729862
68,8.0,9.0,11.0,10.0,-1.795425
69,9.0,8.0,11.0,10.0,1.795425
70,10.0,11.0,11.0,10.0,-2.683892
71,11.0,10.0,11.0,10.0,2.683892
