,i,j,epsilon
0,0,0,-26.450695
1,1,1,-26.450695
2,2,2,-11.208289
3,3,3,-11.208289
4,4,4,-10.999193
5,5,5,-10.999193
6,6,6,-3.990743
7,7,7,-3.990743
8,8,8,-28.15646
9,9,9,-28.15646
10,10,10,-13.164043
11,11,11,-13.164043
12,12,12,-12.234257
13,13,13,-12.234257
14,14,14,-5.396305
15,15,15,-5.396305
