,q_i,q_f,epsilon
0,0.0,0.0,-19.259
1,1.0,1.0,-19.259
2,2.0,2.0,-6.5
3,3.0,3.0,-6.5
4,4.0,4.0,-3.213
5,5.0,5.0,-3.213
6,6.0,6.0,-21.23
7,7.0,7.0,-21.23
8,8.0,8.0,-0.9545
9,9.0,9.0,-0.9545
10,10.0,10.0,0.9545
11,11.0,11.0,0.9545
