,q_i,q_f,epsilon
0,0.0,0.0,-25.399
1,1.0,1.0,-25.399
2,2.0,2.0,-12.64
3,3.0,3.0,-12.64
4,4.0,4.0,-9.353
5,5.0,5.0,-9.353
6,6.0,6.0,-27.37
7,7.0,7.0,-27.37
8,8.0,8.0,-13.513
9,9.0,9.0,-13.513
10,10.0,10.0,-11.604
11,11.0,11.0,-11.604
