,q_i,q_f,epsilon
0,0.0,0.0,-18.6405
1,1.0,1.0,-18.6405
2,2.0,2.0,-3.3625
3,3.0,3.0,-3.3625
4,4.0,4.0,-3.3455
5,5.0,5.0,-3.3455
6,6.0,6.0,3.3455
7,7.0,7.0,3.3455
8,8.0,8.0,-15.844
9,9.0,9.0,-15.844
10,10.0,10.0,-0.008
11,11.0,11.0,-0.008
12,12.0,12.0,0.008
13,13.0,13.0,0.008
