,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.067
1,2.0,3.0,1.0,0.0,-0.067
2,4.0,5.0,1.0,0.0,-0.067
3,2.0,3.0,3.0,2.0,-0.067
4,4.0,5.0,3.0,2.0,-0.067
5,4.0,5.0,5.0,4.0,-0.067
6,6.0,7.0,7.0,6.0,-0.067
7,8.0,9.0,7.0,6.0,-0.067
8,10.0,11.0,7.0,6.0,-0.067
9,12.0,13.0,7.0,6.0,-0.067
10,14.0,15.0,7.0,6.0,-0.067
11,8.0,9.0,9.0,8.0,-0.067
12,10.0,11.0,9.0,8.0,-0.067
13,12.0,13.0,9.0,8.0,-0.067
14,14.0,15.0,9.0,8.0,-0.067
15,10.0,11.0,11.0,10.0,-0.067
16,12.0,13.0,11.0,10.0,-0.067
17,14.0,15.0,11.0,10.0,-0.067
18,12.0,13.0,13.0,12.0,-0.067
19,14.0,15.0,13.0,12.0,-0.067
20,14.0,15.0,15.0,14.0,-0.067
