,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,12.810409
1,6.0,7.0,0.0,1.0,4.503377
2,5.0,4.0,0.0,1.0,-6.508258
3,4.0,5.0,0.0,1.0,6.508258
4,3.0,2.0,0.0,1.0,6.501468
5,2.0,3.0,0.0,1.0,-6.501468
6,1.0,0.0,0.0,1.0,-12.810409
7,7.0,6.0,0.0,1.0,-4.503377
8,1.0,0.0,1.0,0.0,12.810409
9,6.0,7.0,1.0,0.0,-4.503377
10,0.0,1.0,1.0,0.0,-12.810409
11,7.0,6.0,1.0,0.0,4.503377
12,3.0,2.0,1.0,0.0,-6.501468
13,2.0,3.0,1.0,0.0,6.501468
14,4.0,5.0,1.0,0.0,-6.508258
15,5.0,4.0,1.0,0.0,6.508258
16,2.0,3.0,2.0,3.0,6.337498
17,1.0,0.0,2.0,3.0,6.501468
18,3.0,2.0,2.0,3.0,-6.337498
19,6.0,7.0,2.0,3.0,-4.087395
20,5.0,4.0,2.0,3.0,4.235348
21,0.0,1.0,2.0,3.0,-6.501468
22,7.0,6.0,2.0,3.0,4.087395
23,4.0,5.0,2.0,3.0,-4.235348
24,7.0,6.0,3.0,2.0,-4.087395
25,5.0,4.0,3.0,2.0,-4.235348
26,6.0,7.0,3.0,2.0,4.087395
27,4.0,5.0,3.0,2.0,4.235348
28,0.0,1.0,3.0,2.0,6.501468
29,3.0,2.0,3.0,2.0,6.337498
30,2.0,3.0,3.0,2.0,-6.337498
31,1.0,0.0,3.0,2.0,-6.501468
32,3.0,2.0,4.0,5.0,4.235348
33,6.0,7.0,4.0,5.0,4.095678
34,0.0,1.0,4.0,5.0,6.508258
35,7.0,6.0,4.0,5.0,-4.095678
36,4.0,5.0,4.0,5.0,6.32945
37,1.0,0.0,4.0,5.0,-6.508258
38,2.0,3.0,4.0,5.0,-4.235348
39,5.0,4.0,4.0,5.0,-6.32945
40,4.0,5.0,5.0,4.0,-6.32945
41,1.0,0.0,5.0,4.0,6.508258
42,2.0,3.0,5.0,4.0,4.235348
43,3.0,2.0,5.0,4.0,-4.235348
44,0.0,1.0,5.0,4.0,-6.508258
45,5.0,4.0,5.0,4.0,6.32945
46,6.0,7.0,5.0,4.0,-4.095678
47,7.0,6.0,5.0,4.0,4.095678
48,3.0,2.0,6.0,7.0,4.087395
49,5.0,4.0,6.0,7.0,-4.095678
50,2.0,3.0,6.0,7.0,-4.087395
51,4.0,5.0,6.0,7.0,4.095678
52,6.0,7.0,6.0,7.0,3.338471
53,7.0,6.0,6.0,7.0,-3.338471
