,i,j,epsilon
0,0,0,-11.011964
1,1,1,-11.011964
2,2,2,-10.996531
3,3,3,-10.996531
4,4,4,-3.941574
5,5,5,-3.941574
6,6,6,-15.713319
7,7,7,-15.713319
8,8,8,-15.696588
9,9,9,-15.696588
10,10,10,-8.488562
11,11,11,-8.488562
12,12,12,-0.565164
13,13,13,-0.565164
14,14,14,-0.555927
15,15,15,-0.555927
16,16,16,-0.537664
17,17,17,-0.537664
