,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,5.725214
1,1.0,0.0,0.0,1.0,-5.725214
2,2.0,3.0,0.0,1.0,3.823805
3,3.0,2.0,0.0,1.0,-3.823805
4,4.0,5.0,0.0,1.0,3.74651
5,5.0,4.0,0.0,1.0,-3.74651
6,0.0,1.0,1.0,0.0,-5.725214
7,1.0,0.0,1.0,0.0,5.725214
8,2.0,3.0,1.0,0.0,-3.823805
9,3.0,2.0,1.0,0.0,3.823805
10,4.0,5.0,1.0,0.0,-3.74651
11,5.0,4.0,1.0,0.0,3.74651
12,0.0,1.0,2.0,3.0,3.823805
13,1.0,0.0,2.0,3.0,-3.823805
14,2.0,3.0,2.0,3.0,5.71469
15,3.0,2.0,2.0,3.0,-5.71469
16,4.0,5.0,2.0,3.0,3.754868
17,5.0,4.0,2.0,3.0,-3.754868
18,0.0,1.0,3.0,2.0,-3.823805
19,1.0,0.0,3.0,2.0,3.823805
20,2.0,3.0,3.0,2.0,-5.71469
21,3.0,2.0,3.0,2.0,5.71469
22,4.0,5.0,3.0,2.0,-3.754868
23,5.0,4.0,3.0,2.0,3.754868
24,0.0,1.0,4.0,5.0,3.74651
25,1.0,0.0,4.0,5.0,-3.74651
26,2.0,3.0,4.0,5.0,3.754868
27,3.0,2.0,4.0,5.0,-3.754868
28,4.0,5.0,4.0,5.0,3.072901
29,5.0,4.0,4.0,5.0,-3.072901
30,0.0,1.0,5.0,4.0,-3.74651
31,1.0,0.0,5.0,4.0,3.74651
32,2.0,3.0,5.0,4.0,-3.754868
33,3.0,2.0,5.0,4.0,3.754868
34,4.0,5.0,5.0,4.0,-3.072901
35,5.0,4.0,5.0,4.0,3.072901
36,6.0,7.0,6.0,7.0,6.265508
37,7.0,6.0,6.0,7.0,-6.265508
38,8.0,9.0,6.0,7.0,4.184882
39,9.0,8.0,6.0,7.0,-4.184882
40,10.0,11.0,6.0,7.0,4.506257
41,11.0,10.0,6.0,7.0,-4.506257
42,12.0,13.0,6.0,7.0,4.217558
43,13.0,12.0,6.0,7.0,-4.217558
44,14.0,15.0,6.0,7.0,3.089168
45,15.0,14.0,6.0,7.0,-3.089168
46,16.0,17.0,6.0,7.0,2.520561
47,17.0,16.0,6.0,7.0,-2.520561
48,6.0,7.0,7.0,6.0,-6.265508
49,7.0,6.0,7.0,6.0,6.265508
50,8.0,9.0,7.0,6.0,-4.184882
51,9.0,8.0,7.0,6.0,4.184882
52,10.0,11.0,7.0,6.0,-4.506257
53,11.0,10.0,7.0,6.0,4.506257
54,12.0,13.0,7.0,6.0,-4.217558
55,13.0,12.0,7.0,6.0,4.217558
56,14.0,15.0,7.0,6.0,-3.089168
57,15.0,14.0,7.0,6.0,3.089168
58,16.0,17.0,7.0,6.0,-2.520561
59,17.0,16.0,7.0,6.0,2.520561
60,6.0,7.0,8.0,9.0,4.184882
61,7.0,6.0,8.0,9.0,-4.184882
62,8.0,9.0,8.0,9.0,6.255531
63,9.0,8.0,8.0,9.0,-6.255531
64,10.0,11.0,8.0,9.0,4.519346
65,11.0,10.0,8.0,9.0,-4.519346
66,12.0,13.0,8.0,9.0,2.353281
67,13.0,12.0,8.0,9.0,-2.353281
68,14.0,15.0,8.0,9.0,3.463005
69,15.0,14.0,8.0,9.0,-3.463005
70,16.0,17.0,8.0,9.0,4.008688
71,17.0,16.0,8.0,9.0,-4.008688
72,6.0,7.0,9.0,8.0,-4.184882
73,7.0,6.0,9.0,8.0,4.184882
74,8.0,9.0,9.0,8.0,-6.255531
75,9.0,8.0,9.0,8.0,6.255531
76,10.0,11.0,9.0,8.0,-4.519346
77,11.0,10.0,9.0,8.0,4.519346
78,12.0,13.0,9.0,8.0,-2.353281
79,13.0,12.0,9.0,8.0,2.353281
80,14.0,15.0,9.0,8.0,-3.463005
81,15.0,14.0,9.0,8.0,3.463005
82,16.0,17.0,9.0,8.0,-4.008688
83,17.0,16.0,9.0,8.0,4.008688
84,6.0,7.0,10.0,11.0,4.506257
85,7.0,6.0,10.0,11.0,-4.506257
86,8.0,9.0,10.0,11.0,4.519346
87,9.0,8.0,10.0,11.0,-4.519346
88,10.0,11.0,10.0,11.0,3.99019
89,11.0,10.0,10.0,11.0,-3.99019
90,12.0,13.0,10.0,11.0,3.056352
91,13.0,12.0,10.0,11.0,-3.056352
92,14.0,15.0,10.0,11.0,3.058785
93,15.0,14.0,10.0,11.0,-3.058785
94,16.0,17.0,10.0,11.0,3.054458
95,17.0,16.0,10.0,11.0,-3.054458
96,6.0,7.0,11.0,10.0,-4.506257
97,7.0,6.0,11.0,10.0,4.506257
98,8.0,9.0,11.0,10.0,-4.519346
99,9.0,8.0,11.0,10.0,4.519346
100,10.0,11.0,11.0,10.0,-3.99019
101,11.0,10.0,11.0,10.0,3.99019
102,12.0,13.0,11.0,10.0,-3.056352
103,13.0,12.0,11.0,10.0,3.056352
104,14.0,15.0,11.0,10.0,-3.058785
105,15.0,14.0,11.0,10.0,3.058785
106,16.0,17.0,11.0,10.0,-3.054458
107,17.0,16.0,11.0,10.0,3.054458
108,6.0,7.0,12.0,13.0,4.217558
109,7.0,6.0,12.0,13.0,-4.217558
110,8.0,9.0,12.0,13.0,2.353281
111,9.0,8.0,12.0,13.0,-2.353281
112,10.0,11.0,12.0,13.0,3.056352
113,11.0,10.0,12.0,13.0,-3.056352
114,12.0,13.0,12.0,13.0,3.750213
115,13.0,12.0,12.0,13.0,-3.750213
116,14.0,15.0,12.0,13.0,2.251664
117,15.0,14.0,12.0,13.0,-2.251664
118,16.0,17.0,12.0,13.0,1.877183
119,17.0,16.0,12.0,13.0,-1.877183
120,6.0,7.0,13.0,12.0,-4.217558
121,7.0,6.0,13.0,12.0,4.217558
122,8.0,9.0,13.0,12.0,-2.353281
123,9.0,8.0,13.0,12.0,2.353281
124,10.0,11.0,13.0,12.0,-3.056352
125,11.0,10.0,13.0,12.0,3.056352
126,12.0,13.0,13.0,12.0,-3.750213
