,i,j,k,l,V_ijkl
127,13.0,12.0,13.0,12.0,3.750213
128,14.0,15.0,13.0,12.0,-2.251664
129,15.0,14.0,13.0,12.0,2.251664
130,16.0,17.0,13.0,12.0,-1.877183
131,17.0,16.0,13.0,12.0,1.877183
132,6.0,7.0,14.0,15.0,3.089168
133,7.0,6.0,14.0,15.0,-3.089168
134,8.0,9.0,14.0,15.0,3.463005
135,9.0,8.0,14.0,15.0,-3.463005
136,10.0,11.0,14.0,15.0,3.058785
137,11.0,10.0,14.0,15.0,-3.058785
138,12.0,13.0,14.0,15.0,2.251664
139,13.0,12.0,14.0,15.0,-2.251664
140,14.0,15.0,14.0,15.0,3.144425
141,15.0,14.0,14.0,15.0,-3.144425
142,16.0,17.0,14.0,15.0,2.471341
143,17.0,16.0,14.0,15.0,-2.471341
144,6.0,7.0,15.0,14.0,-3.089168
145,7.0,6.0,15.0,14.0,3.089168
146,8.0,9.0,15.0,14.0,-3.463005
147,9.0,8.0,15.0,14.0,3.463005
148,10.0,11.0,15.0,14.0,-3.058785
149,11.0,10.0,15.0,14.0,3.058785
150,12.0,13.0,15.0,14.0,-2.251664
151,13.0,12.0,15.0,14.0,2.251664
152,14.0,15.0,15.0,14.0,-3.144425
153,15.0,14.0,15.0,14.0,3.144425
154,16.0,17.0,15.0,14.0,-2.471341
155,17.0,16.0,15.0,14.0,2.471341
156,6.0,7.0,16.0,17.0,2.520561
157,7.0,6.0,16.0,17.0,-2.520561
158,8.0,9.0,16.0,17.0,4.008688
159,9.0,8.0,16.0,17.0,-4.008688
160,10.0,11.0,16.0,17.0,3.054458
161,11.0,10.0,16.0,17.0,-3.054458
162,12.0,13.0,16.0,17.0,1.877183
163,13.0,12.0,16.0,17.0,-1.877183
164,14.0,15.0,16.0,17.0,2.471341
165,15.0,14.0,16.0,17.0,-2.471341
166,16.0,17.0,16.0,17.0,3.500913
167,17.0,16.0,16.0,17.0,-3.500913
168,6.0,7.0,17.0,16.0,-2.520561
169,7.0,6.0,17.0,16.0,2.520561
170,8.0,9.0,17.0,16.0,-4.008688
171,9.0,8.0,17.0,16.0,4.008688
172,10.0,11.0,17.0,16.0,-3.054458
173,11.0,10.0,17.0,16.0,3.054458
174,12.0,13.0,17.0,16.0,-1.877183
175,13.0,12.0,17.0,16.0,1.877183
176,14.0,15.0,17.0,16.0,-2.471341
177,15.0,14.0,17.0,16.0,2.471341
178,16.0,17.0,17.0,16.0,-3.500913
179,17.0,16.0,17.0,16.0,3.500913
