,i,j,epsilon
0,0,0,-26.623512
1,1,1,-26.623512
2,2,2,-11.317252
3,3,3,-11.317252
4,4,4,-11.302825
5,5,5,-11.302825
6,6,6,-4.228309
7,7,7,-4.228309
8,8,8,-24.643786
9,9,9,-24.643786
10,10,10,-9.481487
11,11,11,-9.481487
12,12,12,-9.467108
13,13,13,-9.467108
14,14,14,-2.555813
15,15,15,-2.555813
