,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.2
1,2.0,3.0,1.0,0.0,-0.2
2,4.0,5.0,1.0,0.0,-0.2
3,2.0,3.0,3.0,2.0,-0.2
4,4.0,5.0,3.0,2.0,-0.2
5,4.0,5.0,5.0,4.0,-0.2
6,6.0,7.0,7.0,6.0,-0.2
7,8.0,9.0,7.0,6.0,-0.2
8,10.0,11.0,7.0,6.0,-0.2
9,12.0,13.0,7.0,6.0,-0.2
10,14.0,15.0,7.0,6.0,-0.2
11,8.0,9.0,9.0,8.0,-0.2
12,10.0,11.0,9.0,8.0,-0.2
13,12.0,13.0,9.0,8.0,-0.2
14,14.0,15.0,9.0,8.0,-0.2
15,10.0,11.0,11.0,10.0,-0.2
16,12.0,13.0,11.0,10.0,-0.2
17,14.0,15.0,11.0,10.0,-0.2
18,12.0,13.0,13.0,12.0,-0.2
19,14.0,15.0,13.0,12.0,-0.2
20,14.0,15.0,15.0,14.0,-0.2
