,i,j,epsilon
0,0,0,-17.862
1,1,1,-17.862
2,2,2,-3.596
3,3,3,-3.596
4,4,4,-3.596
5,5,5,-3.596
6,6,6,-24.802
7,7,7,-24.802
8,8,8,-11.181
9,9,9,-11.181
10,10,10,-11.181
11,11,11,-11.181
12,12,12,-5.274
13,13,13,-5.274
