,i,j,epsilon
0,0,0,-17.866
1,1,1,-17.866
2,2,2,-3.597
3,3,3,-3.597
4,4,4,-3.597
5,5,5,-3.597
6,6,6,-24.811
7,7,7,-24.811
8,8,8,-11.189
9,9,9,-11.189
10,10,10,-11.188
11,11,11,-11.188
12,12,12,-5.278
13,13,13,-5.278
