,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,2.889827
1,1.0,0.0,0.0,1.0,-2.889827
2,2.0,3.0,0.0,1.0,1.934448
3,3.0,2.0,0.0,1.0,-1.934448
4,4.0,5.0,0.0,1.0,1.86871
5,5.0,4.0,0.0,1.0,-1.86871
6,0.0,1.0,1.0,0.0,-2.889827
7,1.0,0.0,1.0,0.0,2.889827
8,2.0,3.0,1.0,0.0,-1.934448
9,3.0,2.0,1.0,0.0,1.934448
10,4.0,5.0,1.0,0.0,-1.86871
11,5.0,4.0,1.0,0.0,1.86871
12,0.0,1.0,2.0,3.0,1.934448
13,1.0,0.0,2.0,3.0,-1.934448
14,2.0,3.0,2.0,3.0,2.877099
15,3.0,2.0,2.0,3.0,-2.877099
16,4.0,5.0,2.0,3.0,1.880061
17,5.0,4.0,2.0,3.0,-1.880061
18,0.0,1.0,3.0,2.0,-1.934448
19,1.0,0.0,3.0,2.0,1.934448
20,2.0,3.0,3.0,2.0,-2.877099
21,3.0,2.0,3.0,2.0,2.877099
22,4.0,5.0,3.0,2.0,-1.880061
23,5.0,4.0,3.0,2.0,1.880061
24,0.0,1.0,4.0,5.0,1.86871
25,1.0,0.0,4.0,5.0,-1.86871
26,2.0,3.0,4.0,5.0,1.880061
27,3.0,2.0,4.0,5.0,-1.880061
28,4.0,5.0,4.0,5.0,1.525083
29,5.0,4.0,4.0,5.0,-1.525083
30,0.0,1.0,5.0,4.0,-1.86871
31,1.0,0.0,5.0,4.0,1.86871
32,2.0,3.0,5.0,4.0,-1.880061
33,3.0,2.0,5.0,4.0,1.880061
34,4.0,5.0,5.0,4.0,-1.525083
35,5.0,4.0,5.0,4.0,1.525083
36,6.0,7.0,6.0,7.0,3.161346
37,7.0,6.0,6.0,7.0,-3.161346
38,8.0,9.0,6.0,7.0,2.115773
39,9.0,8.0,6.0,7.0,-2.115773
40,10.0,11.0,6.0,7.0,2.267738
41,11.0,10.0,6.0,7.0,-2.267738
42,12.0,13.0,6.0,7.0,2.138134
43,13.0,12.0,6.0,7.0,-2.138134
44,6.0,7.0,7.0,6.0,-3.161346
45,7.0,6.0,7.0,6.0,3.161346
46,8.0,9.0,7.0,6.0,-2.115773
47,9.0,8.0,7.0,6.0,2.115773
48,10.0,11.0,7.0,6.0,-2.267738
49,11.0,10.0,7.0,6.0,2.267738
50,12.0,13.0,7.0,6.0,-2.138134
51,13.0,12.0,7.0,6.0,2.138134
52,6.0,7.0,8.0,9.0,2.115773
53,7.0,6.0,8.0,9.0,-2.115773
54,8.0,9.0,8.0,9.0,3.153573
55,9.0,8.0,8.0,9.0,-3.153573
56,10.0,11.0,8.0,9.0,2.281926
57,11.0,10.0,8.0,9.0,-2.281926
58,12.0,13.0,8.0,9.0,1.195934
59,13.0,12.0,8.0,9.0,-1.195934
60,6.0,7.0,9.0,8.0,-2.115773
61,7.0,6.0,9.0,8.0,2.115773
62,8.0,9.0,9.0,8.0,-3.153573
63,9.0,8.0,9.0,8.0,3.153573
64,10.0,11.0,9.0,8.0,-2.281926
65,11.0,10.0,9.0,8.0,2.281926
66,12.0,13.0,9.0,8.0,-1.195934
67,13.0,12.0,9.0,8.0,1.195934
68,6.0,7.0,10.0,11.0,2.267738
69,7.0,6.0,10.0,11.0,-2.267738
70,8.0,9.0,10.0,11.0,2.281926
71,9.0,8.0,10.0,11.0,-2.281926
72,10.0,11.0,10.0,11.0,2.009514
73,11.0,10.0,10.0,11.0,-2.009514
74,12.0,13.0,10.0,11.0,1.544689
75,13.0,12.0,10.0,11.0,-1.544689
76,6.0,7.0,11.0,10.0,-2.267738
77,7.0,6.0,11.0,10.0,2.267738
78,8.0,9.0,11.0,10.0,-2.281926
79,9.0,8.0,11.0,10.0,2.281926
80,10.0,11.0,11.0,10.0,-2.009514
81,11.0,10.0,11.0,10.0,2.009514
82,12.0,13.0,11.0,10.0,-1.544689
83,13.0,12.0,11.0,10.0,1.544689
84,6.0,7.0,12.0,13.0,2.138134
85,7.0,6.0,12.0,13.0,-2.138134
86,8.0,9.0,12.0,13.0,1.195934
87,9.0,8.0,12.0,13.0,-1.195934
88,10.0,11.0,12.0,13.0,1.544689
89,11.0,10.0,12.0,13.0,-1.544689
90,12.0,13.0,12.0,13.0,1.905411
91,13.0,12.0,12.0,13.0,-1.905411
92,6.0,7.0,13.0,12.0,-2.138134
93,7.0,6.0,13.0,12.0,2.138134
94,8.0,9.0,13.0,12.0,-1.195934
95,9.0,8.0,13.0,12.0,1.195934
96,10.0,11.0,13.0,12.0,-1.544689
97,11.0,10.0,13.0,12.0,1.544689
98,12.0,13.0,13.0,12.0,-1.905411
99,13.0,12.0,13.0,12.0,1.905411
