,q_i,q_f,epsilon
0,0.0,0.0,14.896
1,1.0,1.0,14.896
2,2.0,2.0,0.18
3,3.0,3.0,0.18
4,4.0,4.0,0.18
5,5.0,5.0,0.18
6,6.0,6.0,7.337
7,7.0,7.0,7.337
8,8.0,8.0,14.7525
9,9.0,9.0,14.7525
10,10.0,10.0,0.1915
11,11.0,11.0,0.1915
12,12.0,12.0,0.1915
13,13.0,13.0,0.1915
14,14.0,14.0,7.1915
15,15.0,15.0,7.1915
