,q_i,q_f,epsilon
0,0.0,0.0,-26.131
1,1.0,1.0,-26.131
2,2.0,2.0,-11.415
3,3.0,3.0,-11.415
4,4.0,4.0,-11.055
5,5.0,5.0,-11.055
6,6.0,6.0,-3.898
7,7.0,7.0,-3.898
8,8.0,8.0,-24.174
9,9.0,9.0,-24.174
10,10.0,10.0,-9.613
11,11.0,11.0,-9.613
12,12.0,12.0,-9.23
13,13.0,13.0,-9.23
14,14.0,14.0,-2.23
15,15.0,15.0,-2.23
