,q_i1,q_i2,q_f1,q_f2,V_ffii
0,1.0,0.0,0.0,1.0,-12.86142
1,5.0,4.0,0.0,1.0,-5.89585
2,7.0,6.0,0.0,1.0,-4.1779
3,3.0,2.0,2.0,3.0,-5.72521
4,1.0,0.0,4.0,5.0,-5.89585
5,5.0,4.0,4.0,5.0,-5.71469
6,7.0,6.0,4.0,5.0,-3.75487
7,1.0,0.0,6.0,7.0,-4.1779
8,5.0,4.0,6.0,7.0,-3.75487
9,7.0,6.0,6.0,7.0,-3.0729
10,9.0,8.0,8.0,9.0,-11.85354
11,11.0,10.0,10.0,11.0,-6.26551
12,13.0,12.0,10.0,11.0,-4.18488
13,15.0,14.0,10.0,11.0,-4.50626
14,11.0,10.0,12.0,13.0,-4.18488
15,13.0,12.0,12.0,13.0,-6.25553
16,15.0,14.0,12.0,13.0,-4.51935
17,11.0,10.0,14.0,15.0,-4.50626
18,13.0,12.0,14.0,15.0,-4.51935
19,15.0,14.0,14.0,15.0,-3.99019
