,q_i,q_f,epsilon
0,0.0,0.0,-13.279128
1,1.0,1.0,-13.279128
2,2.0,2.0,-8.632018
3,3.0,3.0,-8.632018
4,4.0,4.0,-2.75397
5,5.0,5.0,-2.75397
6,6.0,6.0,-2.422399
7,7.0,7.0,-2.422399
8,8.0,8.0,-11.515595
9,9.0,9.0,-11.515595
10,10.0,10.0,-6.862709
11,11.0,11.0,-6.862709
12,12.0,12.0,-1.137374
13,13.0,13.0,-1.137374
14,14.0,14.0,-0.804779
15,15.0,15.0,-0.804779
