,i,j,epsilon
0,0.0,0.0,-26.671367
1,1.0,1.0,-26.671367
2,2.0,2.0,-11.353632
3,3.0,3.0,-11.353632
4,4.0,4.0,-11.303757
5,5.0,5.0,-11.303757
6,6.0,6.0,-4.218931
7,7.0,7.0,-4.218931
8,8.0,8.0,-24.684027
9,9.0,9.0,-24.684027
10,10.0,10.0,-9.511204
11,11.0,11.0,-9.511204
12,12.0,12.0,-9.462506
13,13.0,13.0,-9.462506
14,14.0,14.0,-2.541054
15,15.0,15.0,-2.541054
