,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-0.067
1,0.0,1.0,1.0,0.0,-0.067
2,2.0,3.0,1.0,0.0,-0.067
3,4.0,5.0,1.0,0.0,-0.067
4,6.0,7.0,1.0,0.0,-0.067
5,1.0,0.0,2.0,3.0,-0.067
6,3.0,2.0,2.0,3.0,-0.067
7,2.0,3.0,3.0,2.0,-0.067
8,4.0,5.0,3.0,2.0,-0.067
9,6.0,7.0,3.0,2.0,-0.067
10,1.0,0.0,4.0,5.0,-0.067
11,3.0,2.0,4.0,5.0,-0.067
12,5.0,4.0,4.0,5.0,-0.067
13,4.0,5.0,5.0,4.0,-0.067
14,6.0,7.0,5.0,4.0,-0.067
15,1.0,0.0,6.0,7.0,-0.067
16,3.0,2.0,6.0,7.0,-0.067
17,5.0,4.0,6.0,7.0,-0.067
18,7.0,6.0,6.0,7.0,-0.067
19,6.0,7.0,7.0,6.0,-0.067
20,9.0,8.0,8.0,9.0,-0.067
21,8.0,9.0,9.0,8.0,-0.067
22,10.0,11.0,9.0,8.0,-0.067
23,12.0,13.0,9.0,8.0,-0.067
24,14.0,15.0,9.0,8.0,-0.067
25,9.0,8.0,10.0,11.0,-0.067
26,11.0,10.0,10.0,11.0,-0.067
27,10.0,11.0,11.0,10.0,-0.067
28,12.0,13.0,11.0,10.0,-0.067
29,14.0,15.0,11.0,10.0,-0.067
30,9.0,8.0,12.0,13.0,-0.067
31,11.0,10.0,12.0,13.0,-0.067
32,13.0,12.0,12.0,13.0,-0.067
33,12.0,13.0,13.0,12.0,-0.067
34,14.0,15.0,13.0,12.0,-0.067
35,9.0,8.0,14.0,15.0,-0.067
36,11.0,10.0,14.0,15.0,-0.067
37,13.0,12.0,14.0,15.0,-0.067
38,15.0,14.0,14.0,15.0,-0.067
39,14.0,15.0,15.0,14.0,-0.067
