,i,j,epsilon
0,0,0,-14.269
1,1,1,-14.269
2,2,2,0
3,3,3,0
4,4,4,0
5,5,5,0
6,6,6,-13.6215
7,7,7,-13.6215
8,8,8,-0.0005
9,9,9,-0.0005
10,10,10,0.0005
11,11,11,0.0005
