,i,j,epsilon
0,0,0,-17.859
1,1,1,-17.859
2,2,2,-3.596
3,3,3,-3.596
4,4,4,-3.596
5,5,5,-3.596
6,6,6,-24.796
7,7,7,-24.796
8,8,8,-11.177
9,9,9,-11.177
10,10,10,-11.176
11,11,11,-11.176
