,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,-12.94188
1,0.0,1.0,2.0,3.0,-6.39249
2,0.0,1.0,4.0,5.0,-6.35638
3,0.0,1.0,6.0,7.0,-4.58379
4,2.0,3.0,2.0,3.0,-6.16694
5,2.0,3.0,4.0,5.0,-4.10379
6,2.0,3.0,6.0,7.0,-4.07015
7,4.0,5.0,4.0,5.0,-6.14212
8,4.0,5.0,6.0,7.0,-4.0766
9,6.0,7.0,6.0,7.0,-3.37429
10,8.0,9.0,8.0,9.0,-12.74288
11,8.0,9.0,10.0,11.0,-6.28362
12,8.0,9.0,12.0,13.0,-6.24825
13,8.0,9.0,14.0,15.0,-4.44266
14,10.0,11.0,10.0,11.0,-6.04269
15,10.0,11.0,12.0,13.0,-4.02106
16,10.0,11.0,14.0,15.0,-3.93955
17,12.0,13.0,12.0,13.0,-6.01823
18,12.0,13.0,14.0,15.0,-3.94572
19,14.0,15.0,14.0,15.0,-3.23329
