,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.07551
1,0.0,1.0,3.0,2.0,-0.03145
2,0.0,1.0,5.0,4.0,-0.03145
3,0.0,1.0,7.0,6.0,-0.01679
4,0.0,1.0,3.0,2.0,-0.03146
5,0.0,1.0,5.0,4.0,-0.03143
6,0.0,1.0,5.0,4.0,-0.03144
7,0.0,1.0,1.0,0.0,-0.07552
8,0.0,1.0,3.0,2.0,-0.0317
9,0.0,1.0,5.0,4.0,-0.0312
10,2.0,3.0,3.0,2.0,-0.02805
11,2.0,3.0,5.0,4.0,-0.0187
12,2.0,3.0,7.0,6.0,-0.01485
13,2.0,3.0,3.0,2.0,-0.02806
14,2.0,3.0,7.0,6.0,-0.01486
15,2.0,3.0,3.0,2.0,-0.02829
16,2.0,3.0,5.0,4.0,-0.01867
17,2.0,3.0,7.0,6.0,-0.01494
18,2.0,3.0,3.0,2.0,-0.02807
19,4.0,5.0,5.0,4.0,-0.02804
20,4.0,5.0,7.0,6.0,-0.01485
21,4.0,5.0,5.0,4.0,-0.02788
22,4.0,5.0,7.0,6.0,-0.01477
23,4.0,5.0,5.0,4.0,-0.02806
24,4.0,5.0,7.0,6.0,-0.01486
25,4.0,5.0,5.0,4.0,-0.02805
26,6.0,7.0,7.0,6.0,-0.0105
27,8.0,9.0,9.0,8.0,-0.07184
