,q_i,q_f,epsilon
0,0.0,0.0,-26.4592
1,0.0,8.0,-26.44407
2,1.0,9.0,-26.44407
3,1.0,1.0,-26.4592
4,2.0,10.0,-10.99139
5,2.0,2.0,-11.01196
6,3.0,3.0,-11.01196
7,3.0,11.0,-10.99139
8,4.0,4.0,-10.99653
9,4.0,15.0,-0.00161
10,4.0,13.0,-10.97597
11,5.0,5.0,-10.99653
12,5.0,12.0,-10.97597
13,5.0,14.0,-0.00161
14,6.0,15.0,-3.8999
15,6.0,6.0,-3.94157
16,7.0,7.0,-3.94157
17,7.0,14.0,-3.8999
18,8.0,0.0,-31.51231
19,8.0,8.0,-31.53035
20,9.0,9.0,-31.53035
21,9.0,1.0,-31.51231
22,10.0,2.0,-15.68397
23,10.0,10.0,-15.71332
24,11.0,11.0,-15.71332
25,11.0,3.0,-15.68397
26,12.0,12.0,-15.69659
27,12.0,5.0,-15.66724
28,13.0,13.0,-15.69659
29,13.0,4.0,-15.66724
30,14.0,7.0,-8.39882
31,14.0,5.0,-0.00124
32,14.0,14.0,-8.48856
33,15.0,6.0,-8.39882
34,15.0,4.0,-0.00124
35,15.0,15.0,-8.48856
