,i,j,epsilon
0,0,0,-17866.0
1,1,1,-17866.0
2,2,2,-3597.0
3,3,3,-3597.0
4,4,4,-3597.0
5,5,5,-3597.0
6,6,6,-24810.0
7,7,7,-24810.0
8,8,8,-11189.0
9,9,9,-11189.0
10,10,10,-11188.0
11,11,11,-11188.0
