,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,6.337498
1,1.0,0.0,0.0,1.0,-6.337498
2,2.0,3.0,0.0,1.0,4.235348
3,3.0,2.0,0.0,1.0,-4.235348
4,4.0,5.0,0.0,1.0,4.087395
5,5.0,4.0,0.0,1.0,-4.087395
6,0.0,1.0,1.0,0.0,-6.337498
7,1.0,0.0,1.0,0.0,6.337498
8,2.0,3.0,1.0,0.0,-4.235348
9,3.0,2.0,1.0,0.0,4.235348
10,4.0,5.0,1.0,0.0,-4.087395
11,5.0,4.0,1.0,0.0,4.087395
12,0.0,1.0,2.0,3.0,4.235348
13,1.0,0.0,2.0,3.0,-4.235348
14,2.0,3.0,2.0,3.0,6.32945
15,3.0,2.0,2.0,3.0,-6.32945
16,4.0,5.0,2.0,3.0,4.095678
17,5.0,4.0,2.0,3.0,-4.095678
18,0.0,1.0,3.0,2.0,-4.235348
19,1.0,0.0,3.0,2.0,4.235348
20,2.0,3.0,3.0,2.0,-6.32945
21,3.0,2.0,3.0,2.0,6.32945
22,4.0,5.0,3.0,2.0,-4.095678
23,5.0,4.0,3.0,2.0,4.095678
24,0.0,1.0,4.0,5.0,4.087395
25,1.0,0.0,4.0,5.0,-4.087395
26,2.0,3.0,4.0,5.0,4.095678
27,3.0,2.0,4.0,5.0,-4.095678
28,4.0,5.0,4.0,5.0,3.338471
29,5.0,4.0,4.0,5.0,-3.338471
30,0.0,1.0,5.0,4.0,-4.087395
31,1.0,0.0,5.0,4.0,4.087395
32,2.0,3.0,5.0,4.0,-4.095678
33,3.0,2.0,5.0,4.0,4.095678
34,4.0,5.0,5.0,4.0,-3.338471
35,5.0,4.0,5.0,4.0,3.338471
36,6.0,7.0,6.0,7.0,6.208721
37,7.0,6.0,6.0,7.0,-6.208721
38,8.0,9.0,6.0,7.0,4.149201
39,9.0,8.0,6.0,7.0,-4.149201
40,10.0,11.0,6.0,7.0,3.943026
41,11.0,10.0,6.0,7.0,-3.943026
42,6.0,7.0,7.0,6.0,-6.208721
43,7.0,6.0,7.0,6.0,6.208721
44,8.0,9.0,7.0,6.0,-4.149201
45,9.0,8.0,7.0,6.0,4.149201
46,10.0,11.0,7.0,6.0,-3.943026
47,11.0,10.0,7.0,6.0,3.943026
48,6.0,7.0,8.0,9.0,4.149201
49,7.0,6.0,8.0,9.0,-4.149201
50,8.0,9.0,8.0,9.0,6.200484
51,9.0,8.0,8.0,9.0,-6.200484
52,10.0,11.0,8.0,9.0,3.950519
53,11.0,10.0,8.0,9.0,-3.950519
54,6.0,7.0,9.0,8.0,-4.149201
55,7.0,6.0,9.0,8.0,4.149201
56,8.0,9.0,9.0,8.0,-6.200484
57,9.0,8.0,9.0,8.0,6.200484
58,10.0,11.0,9.0,8.0,-3.950519
59,11.0,10.0,9.0,8.0,3.950519
60,6.0,7.0,10.0,11.0,3.943026
61,7.0,6.0,10.0,11.0,-3.943026
62,8.0,9.0,10.0,11.0,3.950519
63,9.0,8.0,10.0,11.0,-3.950519
64,10.0,11.0,10.0,11.0,3.17917
65,11.0,10.0,10.0,11.0,-3.17917
66,6.0,7.0,11.0,10.0,-3.943026
67,7.0,6.0,11.0,10.0,3.943026
68,8.0,9.0,11.0,10.0,-3.950519
69,9.0,8.0,11.0,10.0,3.950519
70,10.0,11.0,11.0,10.0,-3.17917
71,11.0,10.0,11.0,10.0,3.17917
