,i,j,epsilon
0,0,0,-17.866
1,1,1,-17.866
2,2,2,-3.597
3,3,3,-3.597
4,4,4,-3.597
5,5,5,-3.597
6,6,6,0.444
7,7,7,0.444
8,8,8,-24.811
9,9,9,-24.811
10,10,10,-11.189
11,11,11,-11.189
12,12,12,-11.188
13,13,13,-11.188
