,i,j,epsilon
0,0,0,-26.459202
1,1,1,-26.459202
2,2,2,-11.011964
3,3,3,-11.011964
4,4,4,-10.996531
5,5,5,-10.996531
6,6,6,-3.941574
7,7,7,-3.941574
8,8,8,-31.53035
9,9,9,-31.53035
10,10,10,-15.713319
11,11,11,-15.713319
12,12,12,-15.696588
13,13,13,-15.696588
14,14,14,-8.488562
15,15,15,-8.488562
