,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,12.861418
1,1.0,0.0,0.0,1.0,-12.861418
2,2.0,3.0,0.0,1.0,5.890698
3,3.0,2.0,0.0,1.0,-5.890698
4,4.0,5.0,0.0,1.0,5.895849
5,5.0,4.0,0.0,1.0,-5.895849
6,6.0,7.0,0.0,1.0,4.1779
7,7.0,6.0,0.0,1.0,-4.1779
8,0.0,1.0,1.0,0.0,-12.861418
9,1.0,0.0,1.0,0.0,12.861418
10,2.0,3.0,1.0,0.0,-5.890698
11,3.0,2.0,1.0,0.0,5.890698
12,4.0,5.0,1.0,0.0,-5.895849
13,5.0,4.0,1.0,0.0,5.895849
14,6.0,7.0,1.0,0.0,-4.1779
15,7.0,6.0,1.0,0.0,4.1779
16,0.0,1.0,2.0,3.0,5.890698
17,1.0,0.0,2.0,3.0,-5.890698
18,2.0,3.0,2.0,3.0,5.725214
19,3.0,2.0,2.0,3.0,-5.725214
20,4.0,5.0,2.0,3.0,3.823805
21,5.0,4.0,2.0,3.0,-3.823805
22,6.0,7.0,2.0,3.0,3.74651
23,7.0,6.0,2.0,3.0,-3.74651
24,0.0,1.0,3.0,2.0,-5.890698
25,1.0,0.0,3.0,2.0,5.890698
26,2.0,3.0,3.0,2.0,-5.725214
27,3.0,2.0,3.0,2.0,5.725214
28,4.0,5.0,3.0,2.0,-3.823805
29,5.0,4.0,3.0,2.0,3.823805
30,6.0,7.0,3.0,2.0,-3.74651
31,7.0,6.0,3.0,2.0,3.74651
32,0.0,1.0,4.0,5.0,5.895849
33,1.0,0.0,4.0,5.0,-5.895849
34,2.0,3.0,4.0,5.0,3.823805
35,3.0,2.0,4.0,5.0,-3.823805
36,4.0,5.0,4.0,5.0,5.71469
37,5.0,4.0,4.0,5.0,-5.71469
38,6.0,7.0,4.0,5.0,3.754868
39,7.0,6.0,4.0,5.0,-3.754868
40,0.0,1.0,5.0,4.0,-5.895849
41,1.0,0.0,5.0,4.0,5.895849
42,2.0,3.0,5.0,4.0,-3.823805
43,3.0,2.0,5.0,4.0,3.823805
44,4.0,5.0,5.0,4.0,-5.71469
45,5.0,4.0,5.0,4.0,5.71469
46,6.0,7.0,5.0,4.0,-3.754868
47,7.0,6.0,5.0,4.0,3.754868
48,0.0,1.0,6.0,7.0,4.1779
49,1.0,0.0,6.0,7.0,-4.1779
50,2.0,3.0,6.0,7.0,3.74651
51,3.0,2.0,6.0,7.0,-3.74651
52,4.0,5.0,6.0,7.0,3.754868
53,5.0,4.0,6.0,7.0,-3.754868
54,6.0,7.0,6.0,7.0,3.072901
55,7.0,6.0,6.0,7.0,-3.072901
56,0.0,1.0,7.0,6.0,-4.1779
57,1.0,0.0,7.0,6.0,4.1779
58,2.0,3.0,7.0,6.0,-3.74651
59,3.0,2.0,7.0,6.0,3.74651
60,4.0,5.0,7.0,6.0,-3.754868
61,5.0,4.0,7.0,6.0,3.754868
62,6.0,7.0,7.0,6.0,-3.072901
63,7.0,6.0,7.0,6.0,3.072901
64,8.0,9.0,8.0,9.0,11.853544
65,9.0,8.0,8.0,9.0,-11.853544
66,10.0,11.0,8.0,9.0,6.230142
67,11.0,10.0,8.0,9.0,-6.230142
68,12.0,13.0,8.0,9.0,6.237393
69,13.0,12.0,8.0,9.0,-6.237393
