,i,j,epsilon
0,0,0,-17.937
1,1,1,-17.937
2,2,2,-4.161
3,3,3,-4.161
4,4,4,-4.157
5,5,5,-4.157
6,6,6,-25.874
7,7,7,-25.874
8,8,8,-11.077
9,9,9,-11.077
10,10,10,-11.062
11,11,11,-11.062
