,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,6.578795
1,1.0,0.0,0.0,1.0,-6.578795
2,2.0,3.0,0.0,1.0,2.974909
3,3.0,2.0,0.0,1.0,-2.974909
4,4.0,5.0,0.0,1.0,2.979983
5,5.0,4.0,0.0,1.0,-2.979983
6,6.0,7.0,0.0,1.0,2.079911
7,7.0,6.0,0.0,1.0,-2.079911
8,0.0,1.0,1.0,0.0,-6.578795
9,1.0,0.0,1.0,0.0,6.578795
10,2.0,3.0,1.0,0.0,-2.974909
11,3.0,2.0,1.0,0.0,2.974909
12,4.0,5.0,1.0,0.0,-2.979983
13,5.0,4.0,1.0,0.0,2.979983
14,6.0,7.0,1.0,0.0,-2.079911
15,7.0,6.0,1.0,0.0,2.079911
16,0.0,1.0,2.0,3.0,2.974909
17,1.0,0.0,2.0,3.0,-2.974909
18,2.0,3.0,2.0,3.0,2.889827
19,3.0,2.0,2.0,3.0,-2.889827
20,4.0,5.0,2.0,3.0,1.934448
21,5.0,4.0,2.0,3.0,-1.934448
22,6.0,7.0,2.0,3.0,1.86871
23,7.0,6.0,2.0,3.0,-1.86871
24,0.0,1.0,3.0,2.0,-2.974909
25,1.0,0.0,3.0,2.0,2.974909
26,2.0,3.0,3.0,2.0,-2.889827
27,3.0,2.0,3.0,2.0,2.889827
28,4.0,5.0,3.0,2.0,-1.934448
29,5.0,4.0,3.0,2.0,1.934448
30,6.0,7.0,3.0,2.0,-1.86871
31,7.0,6.0,3.0,2.0,1.86871
32,0.0,1.0,4.0,5.0,2.979983
33,1.0,0.0,4.0,5.0,-2.979983
34,2.0,3.0,4.0,5.0,1.934448
35,3.0,2.0,4.0,5.0,-1.934448
36,4.0,5.0,4.0,5.0,2.877099
37,5.0,4.0,4.0,5.0,-2.877099
38,6.0,7.0,4.0,5.0,1.880061
39,7.0,6.0,4.0,5.0,-1.880061
40,0.0,1.0,5.0,4.0,-2.979983
41,1.0,0.0,5.0,4.0,2.979983
42,2.0,3.0,5.0,4.0,-1.934448
43,3.0,2.0,5.0,4.0,1.934448
44,4.0,5.0,5.0,4.0,-2.877099
45,5.0,4.0,5.0,4.0,2.877099
46,6.0,7.0,5.0,4.0,-1.880061
47,7.0,6.0,5.0,4.0,1.880061
48,0.0,1.0,6.0,7.0,2.079911
49,1.0,0.0,6.0,7.0,-2.079911
50,2.0,3.0,6.0,7.0,1.86871
51,3.0,2.0,6.0,7.0,-1.86871
52,4.0,5.0,6.0,7.0,1.880061
53,5.0,4.0,6.0,7.0,-1.880061
54,6.0,7.0,6.0,7.0,1.525083
55,7.0,6.0,6.0,7.0,-1.525083
56,0.0,1.0,7.0,6.0,-2.079911
57,1.0,0.0,7.0,6.0,2.079911
58,2.0,3.0,7.0,6.0,-1.86871
59,3.0,2.0,7.0,6.0,1.86871
60,4.0,5.0,7.0,6.0,-1.880061
61,5.0,4.0,7.0,6.0,1.880061
62,6.0,7.0,7.0,6.0,-1.525083
63,7.0,6.0,7.0,6.0,1.525083
64,8.0,9.0,8.0,9.0,5.975675
