,i,j,epsilon
0,0,0,-8.5756945
1,1,1,-8.5756945
2,2,2,-4.0746515
3,3,3,-4.0746515
4,4,4,2.58
5,5,5,2.58
6,6,6,-12.30154
7,7,7,-12.30154
8,8,8,2.58
9,9,9,2.58
