,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,1.0,0.0,-12.94188
1,1.0,0.0,0.0,1.0,-12.94188
2,1.0,0.0,2.0,3.0,-6.39249
3,1.0,0.0,4.0,5.0,-6.35638
4,1.0,0.0,6.0,7.0,-4.58379
5,2.0,3.0,1.0,0.0,-6.39249
6,2.0,3.0,3.0,2.0,-6.16694
7,3.0,2.0,2.0,3.0,-6.16694
8,3.0,2.0,4.0,5.0,-4.10379
9,3.0,2.0,6.0,7.0,-4.07015
10,4.0,5.0,1.0,0.0,-6.35638
11,4.0,5.0,3.0,2.0,-4.10379
12,4.0,5.0,5.0,4.0,-6.14212
13,5.0,4.0,4.0,5.0,-6.14212
14,5.0,4.0,6.0,7.0,-4.0766
15,6.0,7.0,1.0,0.0,-4.58379
16,6.0,7.0,3.0,2.0,-4.07015
17,6.0,7.0,5.0,4.0,-4.0766
18,6.0,7.0,7.0,6.0,-3.37429
19,7.0,6.0,6.0,7.0,-3.37429
20,8.0,9.0,9.0,8.0,-12.74288
21,9.0,8.0,8.0,9.0,-12.74288
22,9.0,8.0,10.0,11.0,-6.28362
23,9.0,8.0,12.0,13.0,-6.24825
24,9.0,8.0,14.0,15.0,-4.44266
25,10.0,11.0,9.0,8.0,-6.28362
26,10.0,11.0,11.0,10.0,-6.04269
27,11.0,10.0,10.0,11.0,-6.04269
28,11.0,10.0,12.0,13.0,-4.02106
29,11.0,10.0,14.0,15.0,-3.93955
30,12.0,13.0,9.0,8.0,-6.24825
31,12.0,13.0,11.0,10.0,-4.02106
32,12.0,13.0,13.0,12.0,-6.01823
33,13.0,12.0,12.0,13.0,-6.01823
34,13.0,12.0,14.0,15.0,-3.94572
35,14.0,15.0,9.0,8.0,-4.44266
36,14.0,15.0,11.0,10.0,-3.93955
37,14.0,15.0,13.0,12.0,-3.94572
38,14.0,15.0,15.0,14.0,-3.23329
39,15.0,14.0,14.0,15.0,-3.23329
