,i,j,epsilon
0,0.0,0.0,-11.353632
1,1.0,1.0,-11.353632
2,2.0,2.0,-11.303757
3,3.0,3.0,-11.303757
4,4.0,4.0,-4.218931
5,5.0,5.0,-4.218931
6,6.0,6.0,-9.511204
7,7.0,7.0,-9.511204
8,8.0,8.0,-9.462506
9,9.0,9.0,-9.462506
10,10.0,10.0,-2.541054
11,11.0,11.0,-2.541054
