,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.333
1,2.0,3.0,1.0,0.0,-0.333
2,4.0,5.0,1.0,0.0,-0.333
3,2.0,3.0,3.0,2.0,-0.333
4,4.0,5.0,3.0,2.0,-0.333
5,4.0,5.0,5.0,4.0,-0.333
6,6.0,7.0,7.0,6.0,-0.385
7,8.0,9.0,7.0,6.0,-0.385
8,10.0,11.0,7.0,6.0,-0.385
9,8.0,9.0,9.0,8.0,-0.385
10,10.0,11.0,9.0,8.0,-0.385
11,10.0,11.0,11.0,10.0,-0.385
