,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-6.337498
1,3.0,2.0,0.0,1.0,-4.235348
2,5.0,4.0,0.0,1.0,-4.087395
3,0.0,1.0,1.0,0.0,-6.337498
4,2.0,3.0,1.0,0.0,-4.235348
5,4.0,5.0,1.0,0.0,-4.087395
6,1.0,0.0,2.0,3.0,-4.235348
7,3.0,2.0,2.0,3.0,-6.32945
8,5.0,4.0,2.0,3.0,-4.095678
9,0.0,1.0,3.0,2.0,-4.235348
10,2.0,3.0,3.0,2.0,-6.32945
11,4.0,5.0,3.0,2.0,-4.095678
12,1.0,0.0,4.0,5.0,-4.087395
13,3.0,2.0,4.0,5.0,-4.095678
14,5.0,4.0,4.0,5.0,-3.338471
15,0.0,1.0,5.0,4.0,-4.087395
16,2.0,3.0,5.0,4.0,-4.095678
17,4.0,5.0,5.0,4.0,-3.338471
18,7.0,6.0,6.0,7.0,-6.208721
19,9.0,8.0,6.0,7.0,-4.149201
20,11.0,10.0,6.0,7.0,-3.943026
21,6.0,7.0,7.0,6.0,-6.208721
22,8.0,9.0,7.0,6.0,-4.149201
23,10.0,11.0,7.0,6.0,-3.943026
24,7.0,6.0,8.0,9.0,-4.149201
25,9.0,8.0,8.0,9.0,-6.200484
26,11.0,10.0,8.0,9.0,-3.950519
27,6.0,7.0,9.0,8.0,-4.149201
28,8.0,9.0,9.0,8.0,-6.200484
29,10.0,11.0,9.0,8.0,-3.950519
30,7.0,6.0,10.0,11.0,-3.943026
31,9.0,8.0,10.0,11.0,-3.950519
32,11.0,10.0,10.0,11.0,-3.17917
33,6.0,7.0,11.0,10.0,-3.943026
34,8.0,9.0,11.0,10.0,-3.950519
35,10.0,11.0,11.0,10.0,-3.17917
