,q_i1,q_i2,q_f1,q_f2,V_ffii,hf_lvl_i1,iso_i1,hf_lvl_i2,iso_i2,hf_lvl_f1,iso_f1,hf_lvl_f2,iso_f2
56,0.0,11.0,2.0,15.0,0.44546,3.0,1.0,6.0,2.0,5.0,1.0,10.0,2.0
57,0.0,11.0,4.0,13.0,-0.00675,3.0,1.0,6.0,2.0,7.0,1.0,8.0,2.0
58,0.0,11.0,6.0,11.0,-0.451421,3.0,1.0,6.0,2.0,9.0,1.0,6.0,2.0
59,0.0,11.0,7.0,9.0,-1.750167,3.0,1.0,6.0,2.0,10.0,1.0,4.0,2.0
60,0.0,11.0,7.0,14.0,0.002475,3.0,1.0,6.0,2.0,10.0,1.0,9.0,2.0
61,0.0,12.0,0.0,12.0,-0.351333,3.0,1.0,7.0,2.0,3.0,1.0,7.0,2.0
62,0.0,12.0,3.0,13.0,-0.102702,3.0,1.0,7.0,2.0,6.0,1.0,8.0,2.0
63,0.0,12.0,4.0,10.0,0.092862,3.0,1.0,7.0,2.0,7.0,1.0,5.0,2.0
64,0.0,12.0,5.0,8.0,0.353648,3.0,1.0,7.0,2.0,8.0,1.0,3.0,2.0
65,0.0,12.0,5.0,15.0,0.037139,3.0,1.0,7.0,2.0,8.0,1.0,10.0,2.0
66,0.0,12.0,6.0,12.0,-0.02851,3.0,1.0,7.0,2.0,9.0,1.0,7.0,2.0
67,0.0,13.0,0.0,13.0,-2.615272,3.0,1.0,8.0,2.0,3.0,1.0,8.0,2.0
68,0.0,13.0,1.0,12.0,2.615272,3.0,1.0,8.0,2.0,4.0,1.0,7.0,2.0
69,0.0,13.0,4.0,8.0,2.660645,3.0,1.0,8.0,2.0,7.0,1.0,3.0,2.0
70,0.0,13.0,4.0,15.0,0.202287,3.0,1.0,8.0,2.0,7.0,1.0,10.0,2.0
71,0.0,13.0,5.0,9.0,-2.660645,3.0,1.0,8.0,2.0,8.0,1.0,4.0,2.0
72,0.0,13.0,5.0,14.0,-0.202287,3.0,1.0,8.0,2.0,8.0,1.0,9.0,2.0
73,0.0,13.0,6.0,13.0,-0.204933,3.0,1.0,8.0,2.0,9.0,1.0,8.0,2.0
74,0.0,13.0,7.0,12.0,0.204933,3.0,1.0,8.0,2.0,10.0,1.0,7.0,2.0
75,0.0,14.0,0.0,9.0,-0.532642,3.0,1.0,9.0,2.0,3.0,1.0,4.0,2.0
76,0.0,14.0,0.0,14.0,-0.168228,3.0,1.0,9.0,2.0,3.0,1.0,9.0,2.0
77,0.0,14.0,1.0,8.0,0.532642,3.0,1.0,9.0,2.0,4.0,1.0,3.0,2.0
78,0.0,14.0,1.0,15.0,0.168228,3.0,1.0,9.0,2.0,4.0,1.0,10.0,2.0
79,0.0,14.0,2.0,10.0,0.357497,3.0,1.0,9.0,2.0,5.0,1.0,5.0,2.0
80,0.0,14.0,3.0,11.0,-0.357497,3.0,1.0,9.0,2.0,6.0,1.0,6.0,2.0
81,0.0,14.0,4.0,12.0,0.233655,3.0,1.0,9.0,2.0,7.0,1.0,7.0,2.0
82,0.0,14.0,5.0,13.0,-0.233655,3.0,1.0,9.0,2.0,8.0,1.0,8.0,2.0
83,0.0,14.0,6.0,9.0,-0.170404,3.0,1.0,9.0,2.0,9.0,1.0,4.0,2.0
84,0.0,14.0,6.0,14.0,0.232045,3.0,1.0,9.0,2.0,9.0,1.0,9.0,2.0
85,0.0,14.0,7.0,8.0,0.170404,3.0,1.0,9.0,2.0,10.0,1.0,3.0,2.0
86,0.0,14.0,7.0,15.0,-0.232045,3.0,1.0,9.0,2.0,10.0,1.0,10.0,2.0
87,0.0,15.0,0.0,8.0,-0.000818,3.0,1.0,10.0,2.0,3.0,1.0,3.0,2.0
88,0.0,15.0,0.0,15.0,-1.570073,3.0,1.0,10.0,2.0,3.0,1.0,10.0,2.0
89,0.0,15.0,1.0,10.0,1.73513,3.0,1.0,10.0,2.0,4.0,1.0,5.0,2.0
90,0.0,15.0,3.0,9.0,-1.734336,3.0,1.0,10.0,2.0,6.0,1.0,4.0,2.0
91,0.0,15.0,3.0,14.0,-0.400754,3.0,1.0,10.0,2.0,6.0,1.0,9.0,2.0
92,0.0,15.0,5.0,12.0,0.005771,3.0,1.0,10.0,2.0,8.0,1.0,7.0,2.0
93,0.0,15.0,6.0,8.0,1.583361,3.0,1.0,10.0,2.0,9.0,1.0,3.0,2.0
94,0.0,15.0,6.0,15.0,-0.002274,3.0,1.0,10.0,2.0,9.0,1.0,10.0,2.0
95,0.0,15.0,7.0,10.0,0.406087,3.0,1.0,10.0,2.0,10.0,1.0,5.0,2.0
96,1.0,2.0,1.0,2.0,-0.491133,4.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0
97,1.0,2.0,2.0,7.0,-1.639453,4.0,1.0,5.0,1.0,5.0,1.0,10.0,1.0
98,1.0,3.0,0.0,6.0,3.526475,4.0,1.0,6.0,1.0,3.0,1.0,9.0,1.0
99,1.0,3.0,1.0,3.0,-3.916706,4.0,1.0,6.0,1.0,4.0,1.0,6.0,1.0
100,1.0,3.0,3.0,7.0,0.911852,4.0,1.0,6.0,1.0,6.0,1.0,10.0,1.0
101,1.0,4.0,1.0,4.0,-0.720169,4.0,1.0,7.0,1.0,4.0,1.0,7.0,1.0
102,1.0,4.0,2.0,5.0,-0.194509,4.0,1.0,7.0,1.0,5.0,1.0,8.0,1.0
103,1.0,4.0,4.0,7.0,0.071544,4.0,1.0,7.0,1.0,7.0,1.0,10.0,1.0
104,1.0,5.0,0.0,4.0,5.409426,4.0,1.0,8.0,1.0,3.0,1.0,7.0,1.0
105,1.0,5.0,1.0,5.0,-5.409426,4.0,1.0,8.0,1.0,4.0,1.0,8.0,1.0
106,1.0,5.0,4.0,6.0,-0.41675,4.0,1.0,8.0,1.0,7.0,1.0,9.0,1.0
107,1.0,5.0,5.0,7.0,0.41675,4.0,1.0,8.0,1.0,8.0,1.0,10.0,1.0
108,1.0,6.0,0.0,1.0,1.097954,4.0,1.0,9.0,1.0,3.0,1.0,4.0,1.0
109,1.0,6.0,0.0,7.0,0.350002,4.0,1.0,9.0,1.0,3.0,1.0,10.0,1.0
110,1.0,6.0,1.0,6.0,-0.350002,4.0,1.0,9.0,1.0,4.0,1.0,9.0,1.0
111,1.0,6.0,2.0,3.0,-0.727601,4.0,1.0,9.0,1.0,5.0,1.0,6.0,1.0
112,1.0,6.0,4.0,5.0,-0.488294,4.0,1.0,9.0,1.0,7.0,1.0,8.0,1.0
113,1.0,6.0,6.0,7.0,-0.474366,4.0,1.0,9.0,1.0,9.0,1.0,10.0,1.0
114,1.0,7.0,0.0,2.0,3.526475,4.0,1.0,10.0,1.0,3.0,1.0,5.0,1.0
115,1.0,7.0,1.0,7.0,-3.215624,4.0,1.0,10.0,1.0,4.0,1.0,10.0,1.0
116,1.0,7.0,2.0,6.0,-0.826721,4.0,1.0,10.0,1.0,5.0,1.0,9.0,1.0
117,1.0,8.0,0.0,9.0,5.235812,4.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0
118,1.0,8.0,0.0,14.0,0.532642,4.0,1.0,3.0,2.0,3.0,1.0,9.0,2.0
119,1.0,8.0,1.0,8.0,-5.235812,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0
120,1.0,8.0,1.0,15.0,-0.532642,4.0,1.0,3.0,2.0,4.0,1.0,10.0,2.0
121,1.0,8.0,2.0,10.0,2.183231,4.0,1.0,3.0,2.0,5.0,1.0,5.0,2.0
122,1.0,8.0,3.0,11.0,-2.183231,4.0,1.0,3.0,2.0,6.0,1.0,6.0,2.0
123,1.0,8.0,4.0,12.0,-3.014289,4.0,1.0,3.0,2.0,7.0,1.0,7.0,2.0
124,1.0,8.0,5.0,13.0,3.014289,4.0,1.0,3.0,2.0,8.0,1.0,8.0,2.0
125,1.0,8.0,6.0,9.0,0.546812,4.0,1.0,3.0,2.0,9.0,1.0,4.0,2.0
126,1.0,8.0,6.0,14.0,1.753766,4.0,1.0,3.0,2.0,9.0,1.0,9.0,2.0
127,1.0,8.0,7.0,8.0,-0.546812,4.0,1.0,3.0,2.0,10.0,1.0,3.0,2.0
128,1.0,8.0,7.0,15.0,-1.753766,4.0,1.0,3.0,2.0,10.0,1.0,10.0,2.0
129,1.0,9.0,0.0,11.0,0.000947,4.0,1.0,4.0,2.0,3.0,1.0,6.0,2.0
130,1.0,9.0,1.0,9.0,-1e-06,4.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0
131,1.0,9.0,1.0,14.0,-0.000818,4.0,1.0,4.0,2.0,4.0,1.0,9.0,2.0
132,1.0,9.0,2.0,8.0,-0.000947,4.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0
133,1.0,9.0,2.0,15.0,-0.000235,4.0,1.0,4.0,2.0,5.0,1.0,10.0,2.0
134,1.0,9.0,4.0,13.0,4e-06,4.0,1.0,4.0,2.0,7.0,1.0,8.0,2.0
135,1.0,9.0,6.0,11.0,0.000238,4.0,1.0,4.0,2.0,9.0,1.0,6.0,2.0
136,1.0,9.0,7.0,9.0,0.000826,4.0,1.0,4.0,2.0,10.0,1.0,4.0,2.0
137,1.0,9.0,7.0,14.0,-1e-06,4.0,1.0,4.0,2.0,10.0,1.0,9.0,2.0
138,1.0,10.0,0.0,8.0,0.000947,4.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0
139,1.0,10.0,0.0,15.0,1.73513,4.0,1.0,5.0,2.0,3.0,1.0,10.0,2.0
140,1.0,10.0,1.0,10.0,-1.94255,4.0,1.0,5.0,2.0,4.0,1.0,5.0,2.0
141,1.0,10.0,3.0,9.0,1.941916,4.0,1.0,5.0,2.0,6.0,1.0,4.0,2.0
142,1.0,10.0,3.0,14.0,0.44546,4.0,1.0,5.0,2.0,6.0,1.0,9.0,2.0
143,1.0,10.0,5.0,12.0,-0.00675,4.0,1.0,5.0,2.0,8.0,1.0,7.0,2.0
144,1.0,10.0,6.0,8.0,-1.750167,4.0,1.0,5.0,2.0,9.0,1.0,3.0,2.0
145,1.0,10.0,6.0,15.0,0.002475,4.0,1.0,5.0,2.0,9.0,1.0,10.0,2.0
146,1.0,10.0,7.0,10.0,-0.451421,4.0,1.0,5.0,2.0,10.0,1.0,5.0,2.0
147,1.0,11.0,1.0,11.0,-0.241772,4.0,1.0,6.0,2.0,4.0,1.0,6.0,2.0
148,1.0,11.0,2.0,9.0,0.241316,4.0,1.0,6.0,2.0,5.0,1.0,4.0,2.0
149,1.0,11.0,2.0,14.0,-0.802055,4.0,1.0,6.0,2.0,5.0,1.0,9.0,2.0
150,1.0,11.0,7.0,11.0,0.809214,4.0,1.0,6.0,2.0,10.0,1.0,6.0,2.0
151,1.0,12.0,0.0,13.0,2.615272,4.0,1.0,7.0,2.0,3.0,1.0,8.0,2.0
152,1.0,12.0,1.0,12.0,-2.615272,4.0,1.0,7.0,2.0,4.0,1.0,7.0,2.0
153,1.0,12.0,4.0,8.0,-2.660645,4.0,1.0,7.0,2.0,7.0,1.0,3.0,2.0
154,1.0,12.0,4.0,15.0,-0.202287,4.0,1.0,7.0,2.0,7.0,1.0,10.0,2.0
155,1.0,12.0,5.0,9.0,2.660645,4.0,1.0,7.0,2.0,8.0,1.0,4.0,2.0
156,1.0,12.0,5.0,14.0,0.202287,4.0,1.0,7.0,2.0,8.0,1.0,9.0,2.0
157,1.0,12.0,6.0,13.0,0.204933,4.0,1.0,7.0,2.0,9.0,1.0,8.0,2.0
158,1.0,12.0,7.0,12.0,-0.204933,4.0,1.0,7.0,2.0,10.0,1.0,7.0,2.0
159,1.0,13.0,1.0,13.0,-0.351333,4.0,1.0,8.0,2.0,4.0,1.0,8.0,2.0
160,1.0,13.0,2.0,12.0,-0.102702,4.0,1.0,8.0,2.0,5.0,1.0,7.0,2.0
161,1.0,13.0,4.0,9.0,0.353648,4.0,1.0,8.0,2.0,7.0,1.0,4.0,2.0
162,1.0,13.0,4.0,14.0,0.037139,4.0,1.0,8.0,2.0,7.0,1.0,9.0,2.0
163,1.0,13.0,5.0,11.0,0.092862,4.0,1.0,8.0,2.0,8.0,1.0,6.0,2.0
164,1.0,13.0,7.0,13.0,-0.02851,4.0,1.0,8.0,2.0,10.0,1.0,8.0,2.0
165,1.0,14.0,0.0,11.0,1.73513,4.0,1.0,9.0,2.0,3.0,1.0,6.0,2.0
166,1.0,14.0,1.0,9.0,-0.000818,4.0,1.0,9.0,2.0,4.0,1.0,4.0,2.0
167,1.0,14.0,1.0,14.0,-1.570073,4.0,1.0,9.0,2.0,4.0,1.0,9.0,2.0
168,1.0,14.0,2.0,8.0,-1.734336,4.0,1.0,9.0,2.0,5.0,1.0,3.0,2.0
169,1.0,14.0,2.0,15.0,-0.400754,4.0,1.0,9.0,2.0,5.0,1.0,10.0,2.0
170,1.0,14.0,4.0,13.0,0.005771,4.0,1.0,9.0,2.0,7.0,1.0,8.0,2.0
171,1.0,14.0,6.0,11.0,0.406087,4.0,1.0,9.0,2.0,9.0,1.0,6.0,2.0
172,1.0,14.0,7.0,9.0,1.583361,4.0,1.0,9.0,2.0,10.0,1.0,4.0,2.0
173,1.0,14.0,7.0,14.0,-0.002274,4.0,1.0,9.0,2.0,10.0,1.0,9.0,2.0
174,1.0,15.0,0.0,9.0,0.532642,4.0,1.0,10.0,2.0,3.0,1.0,4.0,2.0
175,1.0,15.0,0.0,14.0,0.168228,4.0,1.0,10.0,2.0,3.0,1.0,9.0,2.0
176,1.0,15.0,1.0,8.0,-0.532642,4.0,1.0,10.0,2.0,4.0,1.0,3.0,2.0
177,1.0,15.0,1.0,15.0,-0.168228,4.0,1.0,10.0,2.0,4.0,1.0,10.0,2.0
178,1.0,15.0,2.0,10.0,-0.357497,4.0,1.0,10.0,2.0,5.0,1.0,5.0,2.0
179,1.0,15.0,3.0,11.0,0.357497,4.0,1.0,10.0,2.0,6.0,1.0,6.0,2.0
180,1.0,15.0,4.0,12.0,-0.233655,4.0,1.0,10.0,2.0,7.0,1.0,7.0,2.0
181,1.0,15.0,5.0,13.0,0.233655,4.0,1.0,10.0,2.0,8.0,1.0,8.0,2.0
182,1.0,15.0,6.0,9.0,0.170404,4.0,1.0,10.0,2.0,9.0,1.0,4.0,2.0
183,1.0,15.0,6.0,14.0,-0.232045,4.0,1.0,10.0,2.0,9.0,1.0,9.0,2.0
184,1.0,15.0,7.0,8.0,-0.170404,4.0,1.0,10.0,2.0,10.0,1.0,3.0,2.0
185,1.0,15.0,7.0,15.0,0.232045,4.0,1.0,10.0,2.0,10.0,1.0,10.0,2.0
186,2.0,3.0,0.0,1.0,-4.407839,5.0,1.0,6.0,1.0,3.0,1.0,4.0,1.0
187,2.0,3.0,0.0,7.0,0.727601,5.0,1.0,6.0,1.0,3.0,1.0,10.0,1.0
188,2.0,3.0,1.0,6.0,-0.727601,5.0,1.0,6.0,1.0,4.0,1.0,9.0,1.0
189,2.0,3.0,2.0,3.0,-7.982538,5.0,1.0,6.0,1.0,5.0,1.0,6.0,1.0
190,2.0,3.0,4.0,5.0,3.155283,5.0,1.0,6.0,1.0,7.0,1.0,8.0,1.0
191,2.0,3.0,6.0,7.0,-5.868858,5.0,1.0,6.0,1.0,9.0,1.0,10.0,1.0
192,2.0,4.0,2.0,4.0,-0.537903,5.0,1.0,7.0,1.0,5.0,1.0,7.0,1.0
193,2.0,5.0,1.0,4.0,-0.194509,5.0,1.0,8.0,1.0,4.0,1.0,7.0,1.0
194,2.0,5.0,2.0,5.0,-2.61738,5.0,1.0,8.0,1.0,5.0,1.0,8.0,1.0
195,2.0,5.0,4.0,7.0,-2.250437,5.0,1.0,8.0,1.0,7.0,1.0,10.0,1.0
196,2.0,6.0,0.0,2.0,0.911852,5.0,1.0,9.0,1.0,3.0,1.0,5.0,1.0
197,2.0,6.0,1.0,7.0,-0.826721,5.0,1.0,9.0,1.0,4.0,1.0,10.0,1.0
198,2.0,6.0,2.0,6.0,-0.217671,5.0,1.0,9.0,1.0,5.0,1.0,9.0,1.0
199,2.0,7.0,1.0,2.0,-1.639453,5.0,1.0,10.0,1.0,4.0,1.0,5.0,1.0
200,2.0,7.0,2.0,7.0,-5.651187,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0
201,2.0,8.0,0.0,11.0,1.941916,5.0,1.0,3.0,2.0,3.0,1.0,6.0,2.0
202,2.0,8.0,1.0,9.0,-0.000947,5.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0
203,2.0,8.0,1.0,14.0,-1.734336,5.0,1.0,3.0,2.0,4.0,1.0,9.0,2.0
204,2.0,8.0,2.0,8.0,-1.941286,5.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0
205,2.0,8.0,2.0,15.0,-0.445327,5.0,1.0,3.0,2.0,5.0,1.0,10.0,2.0
206,2.0,8.0,4.0,13.0,0.006751,5.0,1.0,3.0,2.0,7.0,1.0,8.0,2.0
207,2.0,8.0,6.0,11.0,0.451285,5.0,1.0,3.0,2.0,9.0,1.0,6.0,2.0
208,2.0,8.0,7.0,9.0,1.749371,5.0,1.0,3.0,2.0,10.0,1.0,4.0,2.0
209,2.0,8.0,7.0,14.0,-0.002473,5.0,1.0,3.0,2.0,10.0,1.0,9.0,2.0
210,2.0,9.0,1.0,11.0,0.241316,5.0,1.0,4.0,2.0,4.0,1.0,6.0,2.0
211,2.0,9.0,2.0,9.0,-0.240861,5.0,1.0,4.0,2.0,5.0,1.0,4.0,2.0
212,2.0,9.0,2.0,14.0,0.800474,5.0,1.0,4.0,2.0,5.0,1.0,9.0,2.0
213,2.0,9.0,7.0,11.0,-0.80762,5.0,1.0,4.0,2.0,10.0,1.0,6.0,2.0
214,2.0,10.0,0.0,9.0,-2.183231,5.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0
215,2.0,10.0,0.0,14.0,0.357497,5.0,1.0,5.0,2.0,3.0,1.0,9.0,2.0
216,2.0,10.0,1.0,8.0,2.183231,5.0,1.0,5.0,2.0,4.0,1.0,3.0,2.0
217,2.0,10.0,1.0,15.0,-0.357497,5.0,1.0,5.0,2.0,4.0,1.0,10.0,2.0
218,2.0,10.0,2.0,10.0,-3.941769,5.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0
219,2.0,10.0,3.0,11.0,3.941769,5.0,1.0,5.0,2.0,6.0,1.0,6.0,2.0
220,2.0,10.0,4.0,12.0,1.553617,5.0,1.0,5.0,2.0,7.0,1.0,7.0,2.0
221,2.0,10.0,5.0,13.0,-1.553617,5.0,1.0,5.0,2.0,8.0,1.0,8.0,2.0
222,2.0,10.0,6.0,9.0,0.355424,5.0,1.0,5.0,2.0,9.0,1.0,4.0,2.0
223,2.0,10.0,6.0,14.0,-2.879957,5.0,1.0,5.0,2.0,9.0,1.0,9.0,2.0
224,2.0,10.0,7.0,8.0,-0.355424,5.0,1.0,5.0,2.0,10.0,1.0,3.0,2.0
225,2.0,10.0,7.0,15.0,2.879957,5.0,1.0,5.0,2.0,10.0,1.0,10.0,2.0
226,2.0,11.0,2.0,11.0,-1e-06,5.0,1.0,6.0,2.0,5.0,1.0,6.0,2.0
227,2.0,12.0,1.0,13.0,-0.102702,5.0,1.0,7.0,2.0,4.0,1.0,8.0,2.0
228,2.0,12.0,2.0,12.0,-1.287347,5.0,1.0,7.0,2.0,5.0,1.0,7.0,2.0
229,2.0,12.0,4.0,9.0,0.0996,5.0,1.0,7.0,2.0,7.0,1.0,4.0,2.0
230,2.0,12.0,4.0,14.0,-1.099741,5.0,1.0,7.0,2.0,7.0,1.0,9.0,2.0
231,2.0,12.0,5.0,11.0,1.290222,5.0,1.0,7.0,2.0,8.0,1.0,6.0,2.0
232,2.0,12.0,7.0,13.0,1.105403,5.0,1.0,7.0,2.0,10.0,1.0,8.0,2.0
233,2.0,13.0,2.0,13.0,-0.259363,5.0,1.0,8.0,2.0,5.0,1.0,8.0,2.0
234,2.0,13.0,4.0,11.0,0.263392,5.0,1.0,8.0,2.0,7.0,1.0,6.0,2.0
235,2.0,14.0,1.0,11.0,-0.802055,5.0,1.0,9.0,2.0,4.0,1.0,6.0,2.0
236,2.0,14.0,2.0,9.0,0.800474,5.0,1.0,9.0,2.0,5.0,1.0,4.0,2.0
237,2.0,14.0,2.0,14.0,-2.749444,5.0,1.0,9.0,2.0,5.0,1.0,9.0,2.0
238,2.0,14.0,7.0,11.0,2.773766,5.0,1.0,9.0,2.0,10.0,1.0,6.0,2.0
239,2.0,15.0,0.0,11.0,0.44546,5.0,1.0,10.0,2.0,3.0,1.0,6.0,2.0
240,2.0,15.0,1.0,9.0,-0.000235,5.0,1.0,10.0,2.0,4.0,1.0,4.0,2.0
241,2.0,15.0,1.0,14.0,-0.400754,5.0,1.0,10.0,2.0,4.0,1.0,9.0,2.0
242,2.0,15.0,2.0,8.0,-0.445327,5.0,1.0,10.0,2.0,5.0,1.0,3.0,2.0
243,2.0,15.0,2.0,15.0,-0.104837,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0
244,2.0,15.0,4.0,13.0,0.001518,5.0,1.0,10.0,2.0,7.0,1.0,8.0,2.0
245,2.0,15.0,6.0,11.0,0.106192,5.0,1.0,10.0,2.0,9.0,1.0,6.0,2.0
246,2.0,15.0,7.0,9.0,0.404213,5.0,1.0,10.0,2.0,10.0,1.0,4.0,2.0
247,2.0,15.0,7.0,14.0,-0.000558,5.0,1.0,10.0,2.0,10.0,1.0,9.0,2.0
